"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"CABEZAL COPANO-43",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL COPANO-43",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR CHIAPAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR BATERIA CHIAPAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE BATERIA CHIAPAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL CHIAPAS",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR DIABLO CHIAPAS",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL MUSPAC-42",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL MUSPAC-41",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL MUSPAC-62",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE BATERIA MUSPAC",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE MUSPAC",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR BATERIA CATEDRAL",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR BATERIA GIRALDAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL EXTERIOR GIRALDAS",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL GIRALDAS",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL MUSPAC-61",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE BATERIA GIRALDAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL MUSPAC-82",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR GIRALDAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE GC GIRALDAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR SUNUAPA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE TEOTLECO-101",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDE BATERIA SUNUAPA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE SUNUAPA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE GIRALDAS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR BATERIA SUNUAPA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR AB MACROPERA SUNUAPA-302",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE CABEZAL COMOAPA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR CABEZAL COMOAPA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL COMOAPA",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR INTERCONEXION SUN.MALVA-201",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL JUSPI-1A",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR CABEZAL JUSPI-1A",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDE JUSPI",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDR JUSPI",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDR POZO TEOTLECO-51",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDE TEOTLECO-51",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDE CABEZAL SUNUAPA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE CABEZAL SUNUAPA-302",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR CABEZAL SUNUAPA-302",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL SUNUAPA-302",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL JUSPI-1004",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"CABEZAL JUSPI-1004",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE TEOTLECO-33",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDR TEOTLECO-33",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"CABEZAL TEOTLECO-12",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL MUNDO NUEVO",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE KM 0+848 TEOTLECO-33",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"CABEZAL TEOTLECO-1",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL TEOTLECO-1",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDR TEOTLECO-1",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TRAMPA DE ENVIO SUNUAPA-401",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL SUNUAPA-401",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL SUNUAPA-401",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL JUSPI-101A",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR BATERIA CACTUS I",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDR JUSPI CACTUS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL CACTUS 52",CONTRATISTA,CABEZAL,2018/09/25,"FUERA DE OPERACION DEFINITIVA",
"CABEZAL CACTUS 5",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR CACTUS IV",CONTRATISTA,TRAMPAS,2018/09/25,OPERANDO,
"TDR CACTUS",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR AREA TRAMPAS CACTUS IV",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE ENT. SITIO GRANDE",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL CACTUS NISPERO",CONTRATISTA,CABEZAL,2018/09/25,"FUERA DE OPERACION DEFINITIVA",
"TDE GAUCHO",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL GAUCHO",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR INT ACUYO GAUCHO",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR ACUYO ART",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR ARTESA",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TRAMPA DE RECIBO CACTUS II",CONTRATISTA,TRAMPA,2018/09/25,"FUERA DE OPERACION DEFINITIVA",
"TDR BAT SEPARACION CACTUS II",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE NISPERO 90",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL CACTUS II",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL GAUCHO 35",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL FORANEO NISPERO 90",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CAB BS ARTESA",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"AREA DE TRAMPA ARTESA",CONTRATISTA,TRAMPA,2018/09/25,"FUERA DE OPERACION DEFINITIVA",
"CAB FOR ARTESA 3",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CAB FOR ARTESA 353",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CAB FOR ARTESA 373",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL ARTESA 353",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CAB FOR ARTESA 35",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL NISPERO 96",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDE CABEZAL GENERAL NISPERO",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"TDR NISPERO 96",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL GENERAL NISPERO 96A",CONTRATISTA,CABEZAL,2018/09/25,"FUERA DE OPERACION DEFINITIVA",
"CAB FOR ARTESA 15",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CAB P.I.A SIG",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"AREA DE TRAMPA SITIO GRANDE",CONTRATISTA,TRAMPA,2018/09/25,"FUERA DE OPERACION DEFINITIVA",
"TDR SITIO GRANDE",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL NISPERO 94",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDR BATERIA SITIO GRANDE",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL SITIO GRANDE 901",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"CABEZAL DE BN FORANEO SIG",CONTRATISTA,CABEZAL,2018/09/25,OPERANDO,
"TDE CABEZAL RIO NUEVO",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"CABEZAL RIO NUEVO",CONTRATISTA,CABEZAL,2018/09/25,"FUERA DE OPERACION DEFINITIVA",
"TDR AGAVE",CONTRATISTA,TRAMPA,2018/09/25,OPERANDO,
"BATERIA DE SEPARACION ARAGON","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/06/13,OPERANDO,
"BATERIA DE SEPARACION SUNUAPA","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"ESTACION DE RECOLECCION DE GAS PENA BLANCA 2","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION DE GAS",2017/02/15,OPERANDO,2003/12/29
"ESTACION DE RECOLECCION DE GAS CARRETAS AUXILIAR",CONTRATISTA,"ESTACION DE RECOLECCION",2017/01/25,OPERANDO,
"ESTACION DE RECOLECCION DE GAS PRIMAVERA 2","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/01/20,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE CHILA SALINAS","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION MAHUAVES","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION OJITAL","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"BATERIA DE SEPARACION PALANGANA","LEVANTAMIENTO EN CAMPO",BATERIA,2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE INTERNACIONAL 274","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION DE GAS Y CONDENSADO VALADECES 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION DE GAS Y CONDENSADO ",2018/08/09,OPERANDO,2009/08/19
"ESTACION DE CALENTAMIENTO PALOMAS","LEVANTAMIENTO EN CAMPO","ESTACION DE CALENTAMIENTO",2018/06/11,OPERANDO,
"ESTACION DE CALENTAMIENTO Y REBOMBEO MATILLAS-30","LEVANTAMIENTO EN CAMPO","ESTACION DE CALENTAMIENTO",2018/06/11,OPERANDO,
"ESTACION DE COMPRESION GIRALDAS","LEVANTAMIENTO EN CAMPO","ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION ARTESA","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"ESTACION DE COMPRESION ARTESA","LEVANTAMIENTO EN CAMPO","ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"ESTACION DE COMPRESION SUNUAPA","LEVANTAMIENTO EN CAMPO","ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION MUSPAC","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION CINCO PRESIDENTES 1","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION CINCO PRESIDENTES 2","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION RODADOR","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION BACAL","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"ESTACION DE COMPRESION BACAL","LEVANTAMIENTO EN CAMPO","ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION SITIO GRANDE","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/09/25,OPERANDO,
"ESTACION DE COMPRESION SITIO GRANDE","LEVANTAMIENTO EN CAMPO","ESTACION DE COMPRESION",2018/09/25,OPERANDO,
"BATERIA DE SEPARACION CATEDRAL","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2017/02/03,"FUERA DE OPERACION TEMPORAL",
"EX-BATERIA DE SEPARACION SANCHEZ MAGALLANES 4","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/06/29,"FUERA DE OPERACION DEFINITIVA",
"SEPARADOR DE PRODUCCION (FA-101)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"SEPARADOR DE MEDICION (FA-1013)",CONTRATISTA,SEPARADOR,2017/02/05,OPERANDO,
"TRAMPA DE ENVIO DEL  GASODUCTO DE 6 plg",CONTRATISTA,TRAMPA,2017/02/05,OPERANDO,
"CABEZAL DE LLEGADA DE POZOS EX BATERIA SMA-4","LEVANTAMIENTO EN CAMPO",CABEZAL,2018/06/29,DESCONOCIDO,
"CABEZAL CATEDRAL 15","LEVANTAMIENTO EN CAMPO",CABEZAL,2017/01/25,"FUERA DE OPERACION TEMPORAL",
"CABEZAL CATEDRAL DL-1","LEVANTAMIENTO EN CAMPO",CABEZAL,2017/01/25,"FUERA DE OPERACION TEMPORAL",
"CABEZAL CATEDRAL 75","LEVANTAMIENTO EN CAMPO",CABEZAL,2017/01/25,"FUERA DE OPERACION TEMPORAL",
"BATERIA DE SEPARACION HUEHUETEPEC","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/10/23,DESMANTELADA,
"ESTACION DE RECOLECCION DE GAS 18 DE MARZO","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/03/23,DESMANTELADA,
"BATERIA DE SEPARACION FOBOS 1","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/10/19,OPERANDO,
"ESTACION DE RECOLECCION DE GAS CHINA 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION Y SEPARACION",2017/10/11,OPERANDO,
"ESTACION DE RECOLECCION DE GAS BRASIL 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/03/08,DESMANTELADA,
"ESTACION DE RECOLECCION DE GAS AVENTURERO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/04/20,OPERANDO,
"ESTACION DE RECOLECCION DE GAS CALABAZA 3","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION Y SEPARACION",2017/10/09,OPERANDO,
"ESTACION DE RECOLECCION DE GAS MUREX 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION Y COMPRESION",2018/04/30,OPERANDO,
"ESTACION DE COMPRESION DE GAS FRANCISCO CANO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE COMPRESION DE GAS",2017/03/14,DESMANTELADA,
"ESTACION DE RECOLECCION RAMIREZ 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/03/09,DESMANTELADA,
"ESTACION DE RECOLECCION GIGANTE 2","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/04/18,"FUERA DE OPERACION DEFINITIVA",
"ESTACION DE RECOLECCION ESCOBEDO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/05/31,"FUERA DE OPERACION DEFINITIVA",
"ESTACION DE RECOLECCION TIJERINA 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/04/02,DESMANTELADA,
"ESTACION DE RECOLECCION DE GAS TREVINO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/03/14,DESMANTELADA,
"ESTACION DE RECOLECCION DE GAS TREVINO 3","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/03/14,DESMANTELADA,
"ESTACION DE RECOLECCION DE GAS GUILLERMO PRIETO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/03/23,DESMANTELADA,
"ESTACION DE RECOLECCION BONANZA 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION, SEPARACION Y COMPRESION",2017/10/04,OPERANDO,
"ESTACION DE RECOLECCION DE GAS ORGANDI 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/05/30,"OPERANDO (INTERMITENTE)",
"ESTACION DE RECOLECCION DE GAS RUSCO 2","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/05/25,"FUERA DE OPERACION",
"ESTACION DE RECOLECCION DE GAS GRANADITAS 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/05/25,OPERANDO,
"ESTACION DE RECOLECCION DE GAS RUSCO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/01/31,OPERANDO,
"BATERIA DE SEPARACION CHOTE 1","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION Y ESTACION DE COMPRESION",2020/10/31,OPERANDO,
"BATERIA DE SEPARACION HALLAZGO 1","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/08/23,OPERANDO,
"BATERIA DE SEPARACION HALLAZGO 2","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/08/23,OPERANDO,
"ESTACION DE COMPRESION CULEBRA 1 SUR","LEVANTAMIENTO EN CAMPO","ESTACION DE COMPRESION",2015/11/26,OPERANDO,
"PLANTA DESHIDRATADORA DE GAS CULEBRA SUR","LEVANTAMIENTO EN CAMPO","PLANTA DESHIDRATADORA",2015/11/21,OPERANDO,
"PLANTA DESHIDRATADORA DE GAS CULEBRA NORTE","LEVANTAMIENTO EN CAMPO","PLANTA DESHIDRATADORA",2015/11/26,OPERANDO,
"BATERIA DE SEPARACION COYOTES 1","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/10/08,OPERANDO,
"BATERIA DE SEPARACION COYOTES 2","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/10/15,OPERANDO,
"BATERIA DE SEPARACION REMOLINO III","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,2011/11/01
"ESTACION DE RECOLECCION DE GAS GIGANTE 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION Y SEPARACION",2017/10/13,OPERANDO,
"ESTACION DE RECOLECCION VELERO 3","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION, SEPARACION Y COMPRESION",2017/10/18,OPERANDO,
"CABEZAL DE RECOLECCION ESTACION ENLACE 1","LEVANTAMIENTO EN CAMPO","CABEZAL DE RECOLECCION",2017/11/13,OPERANDO,
"ESTACION DE RECOLECCION DE GAS RENO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION Y COMPRESION",2017/10/16,OPERANDO,
"ESTACION DE RECOLECCION DE GAS SULTAN 2","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/02/25,OPERANDO,
"ESTACION DE RECOLECCION ALONDRA 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION, SEPARACION Y COMPRESION",2017/10/02,OPERANDO,
"ESTACION DE RECOLECCION DE GAS PIPILA 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2020/09/23,OPERANDO,
"BATERIA DE SEPARACION VICENTE GUERRERO","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2017/03/12,"FUERA DE OPERACION",
"BATERIA DE SEPARACION PUNTA DE PIEDRA","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2018/10/11,"FUERA DE OPERACION",
"BATERIA DE SEPARACION MOLOACAN 1","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2015/09/30,OPERANDO,
"BATERIA DE SEPARACION MOLOACAN 2","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2015/09/24,OPERANDO,
"BATERIA DE SEPARACION MOLOACAN 3","LEVANTAMIENTO EN CAMPO",BATERIA,2015/10/07,OPERANDO,
"BATERIA DE SEPARACION VERNET","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2017/03/14,OPERANDO,
"MODULO DE SEPARACION Y MEDICION CAFETO","LEVANTAMIENTO EN CAMPO",BATERIA,2017/03/13,DESMANTELADA,
"PLANTA DESHIDRATADORA AGATA","LEVANTAMIENTO EN CAMPO","PLANTA DESHIDRATADORA",2018/07/12,OPERANDO,
"BATERIA DE SEPARACION LA CENTRAL","LEVANTAMIENTO EN CAMPO",BATERIA,2018/06/25,OPERANDO,
"ESTACION DE RECOLECCION DE GAS TEPETITAN","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/03/15,OPERANDO,
"ESTACION DE RECOLECCION DE GAS BRAGADO 1 (MODULO)","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/05/23,"FUERA DE OPERACION",
"ESTACION DE RECOLECCION RIO BRAVO 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/06/01,DESMANTELADA,
"ESTACION DE RECOLECCION PARRITAS 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/05/31,DESMANTELADA,
"ESTACION DE RECOLECCION DE GAS PICADILLO 1-A","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2016/12/21,OPERANDO,
"MODULO  ERG ALONDRA 3","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/19,OPERANDO,
"MODULO DE RECOLECCION  ANTIGUO 1","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/19,OPERANDO,
"MODULO DE RECOLECCION ANTIGUO 8","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/20,OPERANDO,
"MODULO DE RECOLECCION CARAVANA 3","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/23,OPERANDO,
"MODULO DE RECOLECCION GIGANTE 1629","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/23,OPERANDO,
"MODULO DE RECOLECCION GIGANTE 2003","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/23,OPERANDO,
"MODULO DE RECOLECCION MP CALABAZA 42","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/23,OPERANDO,
"MODULO DE RECOLECCION PALEOARCOS 1","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/10/23,OPERANDO,
"ESTACION DE RECOLECCION GRUNON-1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2017/10/25,"FUERA DE OPERACION",
"MODULO DE RECOLECCION ENLACE 8","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/11/07,OPERANDO,
"MODULO DE RECOLECCION EXPLORADOR 200 Y 115","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/11/08,OPERANDO,
"MODULO DE RECOLECCION BENAVIDES 106","LEVANTAMIENTO EN CAMPO","MODULO DE RECOLECCION",2017/11/09,"FUERA DE OPERACION",
"ESTACION DE RECOLECCION BARUNDA 1","LEVANTAMIENTO EN CAMPO","ESTACION DE RECOLECCION",2018/03/01,OPERANDO,
"BATERIA DE SEPARACION HUMAPA III","LEVANTAMIENTO EN CAMPO","BATERIA DE SEPARACION",2020/10/31,OPERANDO,2013/01/01
"BATERIA DE SEPARACION ALAZAN","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION JUAN FELIPE 119",REFERENCIAS,"BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION JUAN FELIPE 123","DOCUMENTOS DE SOPORTE","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION MORALILLO","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION CERRO AZUL SUR","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION POZA RICA XVIII","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"ESTACION DE COMPRESION POZA RICA XVIII","TRANSFERENCIA HISTORICA","ESTACION DE COMPRESION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION REMOLINO 2","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SAN ANDRES III","TRANSFERENCIA HISTORICA",BATERIA,2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION SAN ANDRES IV","TRANSFERENCIA HISTORICA","BATERIA DE SEPARACION",2016/08/11,DESCONOCIDO,
"BATERIA DE SEPARACION HUMAPA I","VERIFICADO POR PEMEX","BATERIA DE SEPARACION DE ACEITES",2020/10/31,OPERANDO,2010/06/01
"ESTACION DE RECOLECCION CORINDON 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION CORINDON 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION Y COMPRESION DE GAS CORINDON 3","DOCUMENTOS DE SOPORTE","ESTACION DE RECOLECCION Y COMPRESION DE GAS",2016/08/11,DESCONOCIDO,
"PLATAFORMA SATELITE PERFORACION TIBURON","TRANSFERENCIA HISTORICA","PLATAFORMA MAR DE PERFORACION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION MERCED 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCOS 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCOS 2","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCOS 3","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION ARCOS 4","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
"ESTACION DE RECOLECCION EMU 1","TRANSFERENCIA HISTORICA","ESTACION DE RECOLECCION",2016/08/11,DESCONOCIDO,
