"NOMBRE DE LA INSTALACIÓN",FUENTE,TIPO,"FECHA DE DOCUMENTACIÓN","ESTADO ACTUAL","FECHA DE CONSTRUCCIÓN"
"ESTACION DE RECOLECCION DE ACEITE INTERNACIONAL 6",CONTRATISTA,"ESTACION DE RECOLECCION DE ACEITE",2019/03/15,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE CACALILAO 150",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION Y BOMBEO DOMINGUEZ",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION DE ACEIT E 41",CONTRATISTA,"ESTACION DE RECOLECCION DE ACEITE",2019/03/15,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE EBANO 3",CONTRATISTA,"ESTACION DE RECOLECCION DE ACEITE",2019/03/15,OPERANDO,
"BATERIA DE SEPARACION VEGA DE OTATES",CONTRATISTA,"BATERIA DE SEPARACION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION SAN MANUEL",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE BARBERENA",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION SALVASUCHIL",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION MINERVA",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION TANANTORO",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"CENTRAL DE ALMACENAMIENTO Y BOMBEO CACALILAO",CONTRATISTA,"CENTRAL ALMACENAMIENTO Y BOMBEO",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE PACIENCIA",CONTRATISTA,"ESTACION DE RECOLECCION DE ACEITE",2019/03/15,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE K",CONTRATISTA,"ESTACION DE RECOLECCION DE ACEITE",2019/03/15,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE P",CONTRATISTA,"ESTACION DE RECOLECCION DE ACEITE",2019/03/15,OPERANDO,
"ESTACION DE RECOLECCION DE ACEITE BUENA VISTA",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"BATERIA DE SEPARACION AGUILA 4",CONTRATISTA,"BATERIA DE SEPARACION",2018/06/11,OPERANDO,
"ESTACION DE RECOLECCION PIEDRAS",CONTRATISTA,"ESTACION DE RECOLECCION",2018/06/11,OPERANDO,
"BATERIA DE SEPARACION MIQUETLA I",CONTRATISTA,BATERIA,2018/03/01,OPERANDO,
"BATERIA DE SEPARACION MIQUETLA II",CONTRATISTA,"BATERIA DE SEPARACION",2018/03/01,OPERANDO,
"ESTACION DE COMPRESION MIQUETLA",CONTRATISTA,"ESTACION DE COMPRESION",2018/03/01,OPERANDO,
