,CVEGEO,CARR-KM,LINCARR,RED-KM,LINRED,AREAKM ,DENSCARR,DENSRED,Num_thefts,_merge
100,07021,65.01374258,41,65.99929135000001,185,346.41,0.18767859640310613,0.19052363196789932,0.0,left_only
101,07022,18.895062430000003,16,68.63142527,87,185.29,0.10197561892169034,0.3704000500296832,0.0,left_only
102,07023,186.2201324,227,190.23391411999998,538,344.61,0.5403793633382664,0.552026679782943,0.0,left_only
103,07024,36.10269942,13,19.58930341,104,406.69,0.08877203624382207,0.04816765450343013,0.0,left_only
104,07025,6.0064075400000005,2,25.79598743,28,181.42,0.03310774743688679,0.14218932548781835,0.0,left_only
105,07026,41.76628113,47,95.73538074000001,193,251.33,0.16618104137985915,0.38091505486810173,0.0,left_only
106,07027,160.12420919,202,58.77072063,457,830.64,0.19277209042425117,0.07075354019791967,0.0,left_only
107,07028,19.582943800000002,17,5.552853579999999,65,51.4,0.3809911245136187,0.1080321708171206,0.0,left_only
108,07029,29.96073301,32,2.434774410000002,44,115.34,0.25976012666897863,0.021109540575689284,0.0,left_only
109,07030,42.90855829,30,169.60665039999998,278,996.44,0.043061858506282365,0.1702126072819236,0.0,left_only
110,07031,198.34283043,154,271.31373502,479,1679.58,0.11809073127210375,0.16153665500899037,0.0,left_only
111,07032,51.50741761,56,55.244524330000004,223,416.89,0.12355157861786083,0.13251582990716979,0.0,left_only
112,07033,16.836600790000002,5,35.679968269999996,35,210.09,0.08013994378599648,0.16983182574134892,0.0,left_only
113,07034,131.93399859000002,185,92.45272779999999,442,764.47,0.17258231008411057,0.12093702539013956,0.0,left_only
114,07035,27.93976657,51,30.5618356,90,94.04,0.2971051315397703,0.32498761803487874,0.0,left_only
115,07036,14.232541939999999,17,16.220654160000002,90,48.69,0.2923093436023824,0.3331413875539126,0.0,left_only
116,07037,63.67167673,48,56.468427350000006,200,303.17,0.21001971412079032,0.1862599444206221,0.0,left_only
117,07038,75.85016472,69,69.52486984999999,180,310.78,0.24406385455949547,0.22371088824892205,0.0,left_only
118,07039,53.14797681,79,81.53918751000002,199,339.1,0.15673245889118254,0.24045764526688296,0.0,left_only
119,07040,58.79012218,65,69.47635589000001,205,396.14,0.14840743721916494,0.17538333894582725,0.0,left_only
120,07041,125.59420912,193,20.83269118000001,347,514.23,0.24423742123174455,0.040512399471053825,0.0,left_only
121,07042,21.613136060000002,39,13.474525559999998,51,94.36,0.229049767486223,0.14279912632471384,0.0,left_only
122,07043,26.37052739,21,1.8008946099999994,45,125.25,0.2105431328542914,0.014378400079840314,1.0,both
123,07044,92.36322941,103,44.63319886000001,175,279.08,0.33095610366203243,0.1599297651569443,0.0,left_only
124,07045,19.47494798,22,3.7049303299999994,42,107.24,0.1816015290936218,0.03454802620290936,0.0,left_only
125,07046,168.10241685,174,166.23903477,504,1301.33,0.12917739301330178,0.1277454871323953,0.0,left_only
126,07047,28.867102470000003,37,55.42643252,136,235.59,0.12253110263593532,0.23526649059807292,0.0,left_only
127,07048,119.5919684,110,98.70853021,230,742.8,0.16100157296715134,0.13288708967420573,2.0,both
128,07049,67.0500572,74,30.692610300000002,139,148.79,0.45063550776261846,0.20628140533638015,0.0,left_only
129,07050,43.7682116,41,3.3607625199999966,64,456.61,0.0958546935021134,0.007360247300759941,0.0,left_only
130,07051,115.89244765000001,124,162.35632084,413,1219.56,0.0950280819721867,0.13312696451179115,0.0,left_only
131,07052,363.05746882,284,166.15230182,693,3015.4,0.12040109730715659,0.05510124753598195,0.0,left_only
132,07053,8.87236096,17,35.102937620000006,85,110.3,0.08043844932003627,0.3182496611060744,0.0,left_only
133,07054,68.99842647999999,46,86.03847955000002,225,382.61,0.18033618169938054,0.22487253221295841,0.0,left_only
134,07055,8.07104826,20,21.74897242,86,22.76,0.35461547715289976,0.9555787530755712,0.0,left_only
135,07056,17.141744449999997,24,26.622407270000004,67,36.54,0.46912272714833053,0.7285825744389711,0.0,left_only
136,07057,137.79299405999998,81,145.18307351999997,233,584.31,0.23582172829491194,0.24846926035837139,0.0,left_only
137,07058,11.10726216,14,4.08206364,24,29.53,0.3761348513376227,0.138234461225872,0.0,left_only
138,07059,438.61036809,267,564.3027733,1118,9580.17,0.04578315083030886,0.05890321083028798,0.0,left_only
139,07060,7.7305856,8,17.298119270000004,44,61.14,0.1264407196597972,0.28292638649002294,0.0,left_only
140,07061,247.27934855,250,223.74842429,593,2095.48,0.11800606474411592,0.10677669282932789,0.0,left_only
141,07062,82.18490208,77,32.210580379999996,122,598.49,0.137320426540126,0.053819746996608124,1.0,both
142,07063,6.84459286,17,6.81184876,27,92.3,0.07415593564463706,0.07380117833152763,0.0,left_only
143,07064,51.55586646,68,125.91039016,236,416.47,0.12379250956851633,0.3023276350277331,0.0,left_only
144,07065,248.17565569,166,292.8370983999999,621,2887.98,0.0859339938953871,0.10139858946391592,0.0,left_only
145,07066,10.1870207,22,49.48343147,105,192.54,0.05290859405837748,0.2570033835566636,0.0,left_only
146,07067,7.49834325,14,32.647388320000005,73,105.67,0.07096000047317119,0.3089560738147062,0.0,left_only
147,07068,126.94013808000001,104,24.50381336,182,593.15,0.21401017968473407,0.041311326578437155,1.0,both
148,07069,216.50128102,212,156.30685489,571,1756.61,0.1232494868069748,0.08898210467320579,0.0,left_only
149,07070,23.38060961,33,50.574034020000006,137,82.66,0.282852765666586,0.6118320108879749,0.0,left_only
150,07071,72.79845367,114,84.17787976,236,445.46,0.16342309897633908,0.1889684365824092,0.0,left_only
151,07072,45.467869910000005,100,62.12485245,218,247.43,0.18376053797033506,0.2510805175201067,0.0,left_only
152,07073,19.29731281,22,5.682900330000001,54,67.68,0.2851257802895981,0.0839672034574468,0.0,left_only
153,07074,156.98920303,292,119.96664548999999,458,434.9,0.36097770298919296,0.2758488054495286,8.0,both
154,07075,47.636732620000004,44,21.437614729999993,179,234.81,0.20287352591456925,0.09129770763596096,0.0,left_only
155,07076,18.177865819999997,18,86.92136312,169,249.95,0.07272600848169633,0.34775500348069616,0.0,left_only
156,07077,152.7107292,155,159.86525173,350,1228.24,0.12433297173190908,0.13015799170357586,0.0,left_only
157,07078,131.48514649,155,116.39237943999998,934,394.17,0.3335747177360022,0.29528472344419915,0.0,left_only
158,07079,41.14092812,84,58.4856231,174,359.54,0.11442656761417365,0.16266791761695498,0.0,left_only
159,07080,64.60067415,43,233.57369570999998,263,876.0,0.0737450618150685,0.26663663893835615,0.0,left_only
160,07081,60.24705644,123,108.83421599000002,312,313.95,0.19190016384774647,0.34666098420130603,0.0,left_only
161,07082,2.0456160199999998,2,40.51681688,87,105.4,0.019408121631878553,0.38441002732447815,0.0,left_only
162,07083,35.27164832,36,78.56519759,199,632.74,0.05574429990201346,0.1241666365173689,0.0,left_only
163,07084,32.125495380000004,43,21.377701930000004,85,156.33,0.20549795547879487,0.13674727774579418,0.0,left_only
164,07085,33.14953906,53,9.91682847,80,96.08,0.34502018172356375,0.10321428465861783,0.0,left_only
165,07086,28.43716935,17,27.469948809999998,94,283.88,0.10017320469916867,0.09676605893335212,0.0,left_only
166,07087,69.91638395,113,66.07556288999999,276,236.12,0.2961053021768592,0.27983890771641534,0.0,left_only
167,07088,13.76833191,11,9.448092749999999,26,78.34,0.17575098174623435,0.12060368585652283,0.0,left_only
168,07089,260.37871155,291,314.93935647999996,959,980.14,0.2656546121472443,0.32132078731609764,0.0,left_only
169,07090,21.96690466,24,20.00727258,34,66.1,0.33232836096823,0.30268188472012103,0.0,left_only
170,07091,19.064787850000002,36,7.259105039999999,53,42.59,0.4476353099319089,0.170441536510918,0.0,left_only
171,07092,171.8097586,124,103.40138828000002,347,1256.36,0.13675201263968928,0.08230235623547393,0.0,left_only
172,07093,62.44822065,75,101.00619182000001,200,192.46,0.32447376415878626,0.5248165427621324,0.0,left_only
173,07094,52.15555948,57,28.513942919999995,206,283.51,0.18396373842192515,0.10057473429508658,0.0,left_only
174,07096,173.09219717,114,125.24022084000002,424,801.26,0.21602500707635475,0.15630409709707213,0.0,left_only
175,07097,263.78705461,280,124.08949345,678,1852.51,0.14239440251874483,0.06698452016453353,0.0,left_only
176,07098,12.55256642,5,11.04892146,33,168.53,0.07448268213374473,0.065560561680413,0.0,left_only
177,07099,224.55977470000002,189,106.82218124999997,391,1602.91,0.14009506129477015,0.06664265694892413,0.0,left_only
178,07100,68.49834531,53,68.03610959000001,125,402.19,0.17031339742410304,0.1691641005246277,0.0,left_only
179,07101,69.65392243999999,208,155.48508759,1313,334.88,0.20799666280458667,0.46430090656354517,0.0,left_only
180,07102,98.20974948,146,73.06993460999999,283,165.85,0.5921600812782635,0.440578442025927,0.0,left_only
181,07103,76.63103737,93,35.863917789999995,168,174.25,0.4397763981061693,0.20581875345767572,0.0,left_only
182,07104,41.01601924,49,41.00528461,205,358.19,0.11450911315223763,0.11447914405762304,0.0,left_only
183,07105,22.1854918,23,11.548335329999999,55,62.04,0.3575998033526757,0.1861433805609284,0.0,left_only
184,07106,128.29201238,152,111.040821,514,1359.99,0.09433305566952697,0.08164826285487393,0.0,left_only
185,07107,146.37850565,104,163.24766598,382,2754.97,0.05313252255015481,0.05925569642500644,0.0,left_only
186,07108,164.64694091,108,232.68849206000002,564,1901.39,0.08659293512114821,0.12237809815976733,0.0,left_only
187,07109,53.41410755,50,22.410378299999998,126,209.26,0.25525235377042915,0.10709346411163145,0.0,left_only
188,07110,13.73729391,3,12.72564069,60,94.04,0.14607926318587833,0.13532157262866865,0.0,left_only
189,07111,80.91994985999999,97,75.82959776,333,194.61,0.41580571327269916,0.3896490301628899,0.0,left_only
190,07112,28.79020326,29,89.50440456000001,128,173.04,0.16637889077669904,0.5172469056865465,0.0,left_only
191,07113,5.8431447,3,15.75971111,27,26.81,0.21794646400596793,0.587829582618426,0.0,left_only
192,07114,112.13347001999999,59,40.36689901000001,134,1092.95,0.10259707216249599,0.036933893599890216,0.0,left_only
193,07115,37.65363764,24,42.06492468,71,542.85,0.06936287674311503,0.07748903873998342,0.0,left_only
194,07116,81.70136459,34,64.73665636999999,119,909.28,0.08985281166417385,0.07119551334022522,0.0,left_only
195,07117,34.30831704,14,33.04464154,79,197.9,0.1733618849924204,0.16697646053562404,0.0,left_only
196,07118,8.89135686,22,5.529560900000001,52,38.34,0.23190810798122063,0.14422433229003653,0.0,left_only
197,07119,10.19405315,15,0.7071766800000004,24,16.54,0.6163272762998792,0.04275554292623945,0.0,left_only
198,08001,432.93101826,195,51.36404537000001,351,16910.05,0.02560199516027451,0.0030374863096206107,5.0,both
199,08002,166.23511004999997,101,145.13529301,313,9216.33,0.018037017994147343,0.015747623295823826,2.0,both
200,08003,141.13645866000002,63,61.79964502,160,2133.14,0.06616371108319193,0.028971209118951406,0.0,left_only
201,08004,41.06909407,84,20.4900743,181,495.38,0.08290422316201704,0.041362336590092454,3.0,both
202,08005,189.12805034,50,237.76596786000002,158,12859.93,0.014706771369673084,0.018488900628541523,0.0,left_only
203,08006,78.66854068,91,15.294549459999995,107,952.17,0.08262026810338491,0.016062834850919475,0.0,left_only
204,08007,219.60665336,179,255.16770081,299,5370.56,0.0408908295149854,0.04751230799209021,0.0,left_only
205,08008,38.69207949,47,435.96257942,270,2137.12,0.018104776283035112,0.20399536732612114,0.0,left_only
206,08009,142.2515386,117,295.06049202,467,2705.99,0.05256912944985015,0.1090397569909719,0.0,left_only
207,08010,386.68326491000005,216,207.5643345199999,413,7911.95,0.04887332009302385,0.026234282891069827,0.0,left_only
208,08011,341.33643959,228,240.67521510999993,732,13747.01,0.024829867701412888,0.01750745908455729,2.0,both
209,08012,44.38730854,20,219.63494551,154,2590.68,0.01713345860546266,0.08477887871524079,0.0,left_only
210,08013,125.52790781,123,83.95451009999998,266,3755.09,0.033428734813280105,0.022357522749121853,0.0,left_only
211,08014,64.71035921000001,33,11.523947179999995,59,1890.08,0.03423683611804792,0.0060970684732921335,1.0,both
212,08015,146.42923079,54,146.15093406,172,11650.88,0.012568083337052652,0.012544197010011261,0.0,left_only
213,08016,72.76313815,80,4.14197322,142,1053.02,0.0690994835330763,0.003933423125866555,0.0,left_only
214,08017,476.09400596,719,272.15908261000004,1531,3608.22,0.13194705587796754,0.07542751900105871,0.0,left_only
215,08018,86.70402874999999,48,124.46249944000002,130,1608.18,0.05391438069743436,0.0773933884515415,0.0,left_only
216,08019,670.18339188,979,537.3206290100001,4517,8381.97,0.07995535558824478,0.06410433692914674,24.0,both
217,08020,0.0,0,276.17109475,156,1989.9,0.0,0.13878641878988893,0.0,left_only
218,08021,167.17199510999998,288,92.11986927000002,1099,533.12,0.3135729199992497,0.17279387243022212,2.0,both
219,08022,71.40112569,106,16.925205679999998,122,1033.08,0.06911480784643978,0.016383247841406278,0.0,left_only
220,08023,67.98785664,77,17.371596290000003,122,1729.63,0.039307745957227844,0.010043533177616023,0.0,left_only
221,08024,121.7357159,160,19.971385850000004,281,669.53,0.18182264558720299,0.02982896337729453,0.0,left_only
222,08025,67.17054838,114,28.599014710000002,206,853.34,0.0787148714228795,0.03351420853352708,0.0,left_only
223,08026,72.47325909000001,113,62.09792893999998,182,485.43,0.14929703374327918,0.12792355013081183,0.0,left_only
224,08027,306.75944437,139,529.57229892,482,6972.32,0.04399675350098676,0.07595352750877757,0.0,left_only
225,08028,19.834374370000003,37,10.16970033,82,5995.24,0.003308353688926549,0.001696295782987837,0.0,left_only
226,08029,152.96812001,52,1221.49545328,715,9619.04,0.01590263893382292,0.12698725166752606,0.0,left_only
227,08030,0.42272065,2,236.94714123,150,1822.88,0.00023189713530237863,0.12998504631681734,0.0,left_only
228,08031,332.21706675,384,352.84828359,922,5729.68,0.057981783755811846,0.06158254624865612,0.0,left_only
229,08032,112.06773261000001,118,69.61721354999999,748,1923.6,0.0582593744073612,0.036191107064878346,0.0,left_only
230,08033,41.60267855,29,2.6877682300000014,54,852.89,0.04877848087092122,0.0031513656274548903,0.0,left_only
231,08034,80.71320845000001,87,26.439741559999995,158,2860.81,0.028213411044424486,0.009242047378190092,0.0,left_only
232,08035,238.84970366,101,289.06028125,293,7413.38,0.03221873203046383,0.03899169896187704,0.0,left_only
233,08036,398.60256731000004,208,123.70899624999997,595,10771.26,0.037006122525127055,0.01148509981654885,13.0,both
234,08037,246.07060798999998,381,522.02456604,3254,3547.49,0.06936470800199578,0.14715321707460768,9.0,both
235,08038,84.60167891,39,42.680104609999994,148,4119.68,0.02053598311276604,0.010360053356085907,0.0,left_only
236,08039,104.09887134,56,18.044920180000002,104,1347.92,0.07722926534215681,0.013387233797257998,0.0,left_only
237,08040,163.4111392,133,456.18513600000006,533,8737.42,0.018702447541722844,0.052210507907368545,0.0,left_only
238,08041,22.74780671,9,4.8124375499999985,23,1006.43,0.022602472809832776,0.004781691275101098,0.0,left_only
239,08042,43.94731815,8,133.87075341,66,5025.46,0.008744934423913433,0.02663850740230745,0.0,left_only
240,08043,44.99276663,44,26.251278380000002,94,727.07,0.061882303808436595,0.03610557220075096,0.0,left_only
241,08044,48.716537579999994,24,68.39625771,76,1182.1,0.041211858201505795,0.05785995914897217,0.0,left_only
242,08045,193.78383916,334,28.94230131000001,602,429.17,0.45153165216580843,0.06743784819535384,0.0,left_only
243,08046,2.2832358100000003,6,213.65461,117,2183.01,0.0010459117502897375,0.09787156723972862,0.0,left_only
244,08047,0.0,0,164.15025964999998,112,1807.08,0.0,0.09083729533280208,0.0,left_only
245,08048,260.02387748,228,146.63751952,488,4859.97,0.05350318571513816,0.030172515369436437,0.0,left_only
246,08049,57.149170680000005,25,42.27979649,80,2000.89,0.028561875305489058,0.021130495174647282,0.0,left_only
247,08050,54.80400657,74,131.11520732000002,374,2602.18,0.021060805390095996,0.05038667860025057,0.0,left_only
248,08051,154.50557346000002,112,100.7256757,192,1795.71,0.08604149526371185,0.056092395598398404,0.0,left_only
249,08052,288.01373712000003,139,165.60686716000004,497,6795.92,0.04238038957492143,0.024368572196258938,0.0,left_only
250,08053,26.821132730000002,42,2.7538190899999972,75,370.77,0.07233900458505274,0.0074272974890093515,0.0,left_only
251,08054,190.48985657,177,105.79813490000001,305,2263.13,0.08417097408014564,0.04674858929889136,0.0,left_only
252,08055,165.70164851,195,15.984454820000014,325,1926.85,0.08599613281262165,0.008295640459817845,15.0,both
253,08056,23.964009150000003,17,57.872866869999996,68,1172.15,0.02044449016764066,0.04937326013735443,0.0,left_only
254,08057,41.00678496,41,50.80756756,77,1319.56,0.031076104883445997,0.0385034159568341,0.0,left_only
255,08058,45.91425718,96,19.586633009999996,150,878.56,0.05226080993899108,0.0222940186327627,2.0,both
256,08059,54.78263715,31,8.590483789999999,68,479.91,0.11415189754328936,0.01790019751620095,0.0,left_only
257,08060,26.49661754,47,8.562861499999999,102,345.55,0.07667954721458543,0.024780383446679204,0.0,left_only
258,08061,150.14609944,72,56.51439185000002,115,3556.57,0.0422165455593451,0.015890139052514084,0.0,left_only
259,08062,201.66984771999998,221,43.13378617000001,367,3039.7,0.06634531293219725,0.014190145793992831,3.0,both
