CLAVE_ESTADO,ID,year,MES,MES_NUM,CLAVE_MUNICIPIO,MILITAR_MUERTO_NUM,MILITAR_HERIDO_NUM,AGRESOR_MUERTO_NUM,AGRESOR_HERIDO_NUM,AGRESOR_DETENIDO_NUM,enfren
28,2315,2012,mayo,5,28032,0,0,1,0,0,1
28,469,2010,marzo,3,28032,0,1,1,0,0,1
28,406,2010,febrero,2,28015,1,4,0,0,0,1
28,1556,2011,julio,7,28022,0,0,1,0,0,1
28,3870,2016,septiembre,9,28032,1,0,0,0,0,1
28,3835,2016,julio,7,28040,0,0,5,0,0,1
28,3667,2015,junio,6,28022,0,0,1,0,0,1
28,1265,2011,abril,4,28024,0,0,0,0,0,1
28,2681,2012,noviembre,11,28027,0,0,1,0,0,1
28,4005,2017,mayo,5,28022,0,0,0,0,0,1
28,1957,2011,diciembre,12,28030,0,2,0,0,0,1
28,3252,2013,diciembre,12,28041,0,0,2,0,1,1
28,3713,2015,octubre,10,28027,0,0,3,0,0,1
28,3650,2015,mayo,5,28022,0,0,0,0,0,1
28,1087,2011,febrero,2,28024,0,0,1,0,0,1
28,4418,2018,septiembre,9,28024,0,0,1,0,0,1
28,4008,2017,mayo,5,28033,0,0,1,0,0,1
28,4326,2018,junio,6,28025,0,1,0,0,0,1
28,2059,2012,enero,1,28022,0,0,1,0,2,1
28,3214,2013,noviembre,11,28043,0,0,0,1,1,1
28,4408,2018,septiembre,9,28033,0,0,0,0,0,1
28,4414,2018,septiembre,9,28027,0,0,0,0,0,1
28,4345,2018,julio,7,28014,0,0,0,0,0,1
28,2568,2012,septiembre,9,28032,0,0,2,0,0,1
28,1741,2011,septiembre,9,28022,0,1,0,0,0,1
28,1161,2011,marzo,3,28038,0,1,3,0,0,1
28,4308,2018,abril,4,28033,0,0,0,0,0,1
28,979,2010,diciembre,12,28021,0,0,0,0,1,1
28,4038,2017,junio,6,28032,0,0,0,0,0,1
28,1818,2011,octubre,10,28027,1,1,0,0,0,1
28,2042,2012,enero,1,28033,0,0,0,0,0,1
28,288,2009,septiembre,9,28032,0,0,0,1,3,1
28,3047,2013,junio,6,28022,0,0,0,0,0,1
28,1543,2011,julio,7,28038,0,0,0,2,2,1
28,3844,2016,julio,7,28027,0,0,0,0,0,1
28,2855,2013,enero,1,28035,0,0,1,0,0,1
28,1750,2011,septiembre,9,28022,0,2,2,1,0,1
28,4312,2018,mayo,5,28033,0,0,0,0,0,1
28,4459,2018,noviembre,11,28027,0,0,0,0,0,1
28,126,2008,octubre,10,28022,0,1,0,0,12,1
28,2357,2012,mayo,5,28010,0,0,3,0,0,1
28,4395,2018,agosto,8,28032,0,0,1,0,0,1
28,1246,2011,abril,4,28043,0,0,2,0,0,1
28,1253,2011,abril,4,28024,0,0,6,0,0,1
28,3531,2014,octubre,10,28027,0,0,1,0,3,1
28,2457,2012,julio,7,28023,0,0,0,0,2,1
28,1830,2011,octubre,10,28027,0,1,0,0,0,1
28,4160,2017,octubre,10,28007,0,0,0,1,1,1
28,1306,2011,abril,4,28027,0,0,2,0,0,1
28,860,2010,octubre,10,28041,0,0,1,0,5,1
28,2942,2013,marzo,3,28032,0,1,0,0,0,1
28,788,2010,septiembre,9,28014,0,0,3,0,0,1
28,1511,2011,julio,7,28030,0,0,0,2,2,1
28,4671,2019,septiembre,9,28023,0,0,0,0,0,1
28,4216,2017,diciembre,12,28022,0,0,0,0,0,1
28,1313,2011,abril,4,28027,0,0,4,0,0,1
28,2005,2012,enero,1,28025,0,0,0,0,0,1
28,4294,2018,abril,4,28022,0,0,3,0,0,1
28,1512,2011,julio,7,28014,0,0,0,0,2,1
28,4364,2018,julio,7,28040,0,0,4,0,0,1
28,3671,2015,junio,6,28022,0,0,0,0,0,1
28,3278,2013,diciembre,12,28015,0,0,0,1,1,1
28,3392,2014,abril,4,28022,0,0,0,0,0,1
28,2676,2012,octubre,10,28022,0,0,1,0,0,1
28,4296,2018,abril,4,28032,0,0,0,0,0,1
28,2141,2012,marzo,3,28027,0,0,0,0,0,1
28,2479,2012,agosto,8,28027,0,0,3,0,0,1
28,2370,2012,junio,6,28024,0,0,0,0,1,1
28,968,2010,diciembre,12,28040,0,3,4,0,5,1
28,3432,2014,mayo,5,28040,0,0,0,0,0,1
28,1689,2011,septiembre,9,28003,0,0,0,0,3,1
28,2275,2012,abril,4,28027,0,0,1,0,0,1
28,4519,2019,febrero,2,28022,0,0,4,0,0,1
28,3852,2016,agosto,8,28027,0,0,1,0,0,1
28,4436,2018,octubre,10,28025,0,0,2,2,2,1
28,2795,2012,diciembre,12,28027,0,0,0,0,0,1
28,337,2009,diciembre,12,28038,0,0,0,0,3,1
28,410,2010,febrero,2,28032,0,0,2,0,0,1
28,768,2010,septiembre,9,28024,0,2,28,0,0,1
28,1509,2011,julio,7,28024,0,0,0,0,0,1
28,424,2010,marzo,3,28027,0,2,2,0,0,1
28,2831,2013,enero,1,28027,0,0,2,0,0,1
28,1338,2011,mayo,5,28038,0,0,2,0,0,1
28,1840,2011,octubre,10,28027,0,0,4,0,0,1
28,1658,2011,agosto,8,28022,0,0,1,0,0,1
28,4007,2017,mayo,5,28033,0,0,0,0,0,1
28,4074,2017,julio,7,28022,0,0,0,5,5,1
28,2657,2012,octubre,10,28014,0,0,1,0,0,1
28,3510,2014,septiembre,9,28024,1,0,0,0,0,1
28,666,2010,julio,7,28035,0,2,0,0,0,1
28,346,2009,diciembre,12,28041,0,0,0,0,0,1
28,4472,2018,diciembre,12,28025,0,0,5,0,0,1
28,2739,2012,noviembre,11,28027,0,0,1,0,0,1
28,821,2010,octubre,10,28009,0,0,0,0,2,1
28,4597,2019,mayo,5,28027,0,0,0,0,0,1
28,4387,2018,agosto,8,28027,0,0,0,0,0,1
28,633,2010,junio,6,28014,0,0,2,0,0,1
28,3843,2016,julio,7,28022,0,1,2,0,0,1
28,1073,2011,febrero,2,28014,0,0,2,1,5,1
28,1391,2011,mayo,5,28013,0,0,2,0,0,1
28,1634,2011,agosto,8,28032,0,0,0,0,0,1
28,4320,2018,mayo,5,28032,0,1,4,0,1,1
28,2647,2012,octubre,10,28027,0,0,4,0,0,1
28,2772,2012,diciembre,12,28041,0,3,5,0,0,1
28,4510,2019,enero,1,28027,0,0,0,0,0,1
28,2272,2012,abril,4,28040,0,0,0,0,0,1
28,3150,2013,septiembre,9,28041,0,0,1,0,0,1
28,3306,2014,enero,1,28014,0,0,1,0,0,1
28,3438,2014,mayo,5,28027,0,0,0,0,3,1
28,3878,2016,septiembre,9,28032,0,0,0,0,0,1
28,700,2010,julio,7,28025,0,0,0,0,2,1
28,802,2010,septiembre,9,28007,0,0,0,0,0,1
28,3256,2013,diciembre,12,28040,0,0,0,0,0,1
28,3430,2014,mayo,5,28038,0,0,0,0,0,1
28,4091,2017,agosto,8,28022,0,0,0,0,0,1
28,658,2010,julio,7,28027,0,0,3,0,0,1
28,580,2010,junio,6,28014,0,5,0,0,0,1
28,1399,2011,mayo,5,28007,0,0,1,0,1,1
28,2612,2012,octubre,10,28027,0,0,0,0,1,1
28,2975,2013,abril,4,28041,0,0,0,0,0,1
28,2412,2012,junio,6,28027,0,1,0,0,0,1
28,2790,2012,diciembre,12,28032,0,0,0,0,0,1
28,4425,2018,septiembre,9,28007,0,0,2,0,0,1
28,3595,2015,febrero,2,28025,0,1,0,0,0,1
28,1664,2011,agosto,8,28024,0,0,0,0,0,1
28,3206,2013,octubre,10,28027,0,0,0,0,0,1
28,2988,2013,mayo,5,28027,0,0,0,0,1,1
28,3167,2013,septiembre,9,28021,0,0,0,0,0,1
28,2456,2012,julio,7,28027,0,4,0,0,0,1
28,3608,2015,febrero,2,28007,0,0,0,0,0,1
28,895,2010,noviembre,11,28027,0,0,2,0,0,1
28,4136,2017,septiembre,9,28015,0,0,0,0,0,1
28,4613,2019,junio,6,28032,0,0,3,0,0,1
28,2388,2012,junio,6,28027,1,1,6,0,0,1
28,2316,2012,mayo,5,28032,0,0,0,0,1,1
28,2615,2012,octubre,10,28007,0,0,0,1,2,1
28,494,2010,abril,4,28024,0,0,2,0,0,1
28,1333,2011,mayo,5,28009,0,0,3,0,0,1
28,586,2010,junio,6,28022,0,0,1,1,1,1
28,779,2010,septiembre,9,28038,0,1,3,0,0,1
28,2170,2012,marzo,3,28027,0,0,1,0,0,1
28,3436,2014,mayo,5,28015,0,0,3,0,0,1
28,636,2010,julio,7,28032,0,0,4,0,0,1
28,3818,2016,mayo,5,28027,0,0,1,0,2,1
28,1711,2011,septiembre,9,28022,0,0,1,0,0,1
28,3620,2015,marzo,3,28035,0,1,0,0,0,1
28,3759,2016,enero,1,28014,0,0,0,0,0,1
28,2208,2012,marzo,3,28032,0,0,0,0,0,1
28,4635,2019,agosto,8,28025,0,0,0,0,0,1
28,4040,2017,junio,6,28027,0,0,0,0,2,1
28,1318,2011,mayo,5,28015,0,0,0,0,0,1
28,1286,2011,abril,4,28027,0,0,6,0,0,1
28,2537,2012,septiembre,9,28041,1,0,0,0,0,1
28,1322,2011,mayo,5,28024,0,0,0,0,1,1
28,4186,2017,noviembre,11,28032,0,0,0,0,0,1
28,2414,2012,julio,7,28027,0,0,4,0,0,1
28,2442,2012,julio,7,28022,0,0,1,0,0,1
28,3138,2013,agosto,8,28033,0,0,0,0,0,1
28,3527,2014,octubre,10,28032,0,0,1,0,1,1
28,2958,2013,abril,4,28012,0,0,3,0,0,1
28,3729,2015,noviembre,11,28027,0,0,0,0,0,1
28,4602,2019,mayo,5,28027,0,0,0,0,0,1
28,3976,2017,abril,4,28015,0,0,0,0,0,1
28,773,2010,septiembre,9,28027,0,0,4,0,0,1
28,2839,2013,enero,1,28041,0,0,1,0,0,1
28,4134,2017,septiembre,9,28022,0,0,0,0,0,1
28,407,2010,febrero,2,28015,0,0,1,0,0,1
28,828,2010,octubre,10,28032,0,0,0,0,0,1
28,741,2010,agosto,8,28033,0,1,0,0,0,1
28,2896,2013,febrero,2,28027,0,0,0,0,0,1
28,4647,2019,agosto,8,28027,0,0,0,0,0,1
28,3813,2016,abril,4,28022,0,0,0,0,0,1
28,4643,2019,agosto,8,28035,0,4,0,0,0,1
28,2398,2012,junio,6,28027,0,0,0,0,1,1
28,3633,2015,abril,4,28040,0,0,0,0,0,1
28,2152,2012,marzo,3,28025,0,0,8,0,2,1
28,1154,2011,marzo,3,28035,0,0,1,0,0,1
28,1234,2011,abril,4,28024,0,0,0,0,0,1
28,1805,2011,octubre,10,28027,0,0,5,0,0,1
28,4196,2017,noviembre,11,28033,0,0,0,0,0,1
28,3281,2013,diciembre,12,28022,0,0,2,0,0,1
28,2407,2012,junio,6,28040,0,0,0,0,0,1
28,4232,2018,enero,1,28025,0,2,0,0,0,1
28,3394,2014,abril,4,28032,0,0,0,0,0,1
28,3406,2014,mayo,5,28040,0,0,0,0,1,1
28,4571,2019,abril,4,28027,0,1,5,0,0,1
28,2951,2013,abril,4,28032,0,1,0,0,0,1
28,2943,2013,marzo,3,28041,0,0,3,0,0,1
28,1647,2011,agosto,8,28022,0,2,2,0,0,1
28,1462,2011,junio,6,28032,1,2,0,0,3,1
28,3587,2015,febrero,2,28040,0,0,2,0,0,1
28,3704,2015,agosto,8,28032,0,0,1,1,2,1
28,2074,2012,febrero,2,28015,0,0,0,0,0,1
28,400,2010,febrero,2,28022,0,0,3,0,1,1
28,3100,2013,julio,7,28033,0,2,0,0,0,1
28,3128,2013,agosto,8,28022,0,0,0,0,0,1
28,3236,2013,noviembre,11,28040,0,0,0,0,0,1
28,1100,2011,febrero,2,28027,0,0,0,0,0,1
28,3017,2013,mayo,5,28032,0,0,0,0,0,1
28,3097,2013,julio,7,28012,0,0,0,0,0,1
28,3488,2014,agosto,8,28027,0,0,0,0,0,1
28,2182,2012,marzo,3,28033,0,8,0,0,0,1
28,1290,2011,abril,4,28024,0,0,0,0,0,1
28,454,2010,marzo,3,28012,0,0,1,0,0,1
28,2144,2012,marzo,3,28041,1,3,0,0,0,1
28,544,2010,mayo,5,28035,0,0,5,0,3,1
28,2244,2012,abril,4,28035,0,0,1,0,0,1
28,4465,2018,noviembre,11,28014,0,0,1,0,1,1
28,3837,2016,julio,7,28022,0,0,0,0,0,1
28,3461,2014,julio,7,28027,0,0,1,0,4,1
28,758,2010,agosto,8,28007,0,0,0,0,0,1
28,1383,2011,mayo,5,28014,0,0,0,0,0,1
28,27,2007,junio,6,28022,0,2,0,0,0,1
28,4337,2018,junio,6,28033,0,0,0,0,0,1
28,2648,2012,octubre,10,28041,0,0,1,0,0,1
28,1013,2011,enero,1,28041,0,0,0,0,2,1
28,2805,2012,diciembre,12,28003,0,0,1,0,1,1
28,1388,2011,mayo,5,28035,0,0,2,0,0,1
28,3296,2014,enero,1,28019,0,0,0,0,0,1
28,4410,2018,septiembre,9,28033,0,0,2,0,0,1
28,912,2010,noviembre,11,28014,0,0,11,0,2,1
28,4517,2019,febrero,2,28032,0,0,0,0,0,1
28,664,2010,julio,7,28027,1,0,4,0,0,1
28,3698,2015,agosto,8,28038,0,0,0,0,4,1
28,4049,2017,junio,6,28027,0,0,0,0,0,1
28,3544,2014,noviembre,11,28027,0,0,4,0,0,1
28,4330,2018,junio,6,28033,0,0,0,0,0,1
28,2933,2013,marzo,3,28027,0,0,3,0,0,1
28,2240,2012,abril,4,28007,0,0,1,0,0,1
28,495,2010,abril,4,28027,0,0,0,0,0,1
28,2871,2013,febrero,2,28022,0,5,4,0,0,1
28,3343,2014,febrero,2,28015,0,0,0,1,1,1
28,2859,2013,febrero,2,28032,0,0,1,0,0,1
28,884,2010,noviembre,11,28032,0,0,1,0,0,1
28,3512,2014,septiembre,9,28027,0,0,0,0,0,1
28,2780,2012,diciembre,12,28032,0,2,0,0,0,1
28,2660,2012,octubre,10,28033,0,1,1,0,0,1
28,313,2009,octubre,10,28032,0,3,0,0,0,1
28,910,2010,noviembre,11,24042,0,0,2,0,0,1
28,1999,2012,enero,1,28022,0,0,0,1,2,1
28,4243,2018,enero,1,28027,0,1,0,0,0,1
28,2292,2012,mayo,5,28022,0,8,0,0,0,1
28,4268,2018,febrero,2,28022,0,0,0,0,2,1
28,3051,2013,junio,6,28038,0,0,1,0,1,1
28,3711,2015,octubre,10,28027,1,0,5,0,0,1
28,1538,2011,julio,7,28022,0,0,1,0,0,1
28,3490,2014,agosto,8,28032,1,5,0,0,0,1
28,1530,2011,julio,7,28022,0,1,0,0,0,1
28,3196,2013,octubre,10,28027,0,0,0,0,0,1
28,3856,2016,agosto,8,28032,0,0,1,1,3,1
28,534,2010,mayo,5,28025,0,2,4,0,0,1
28,1990,2011,diciembre,12,28032,0,0,0,0,0,1
28,3599,2015,febrero,2,28040,0,0,4,0,0,1
28,2701,2012,noviembre,11,28032,0,0,0,0,0,1
28,301,2009,octubre,10,28032,0,0,0,3,3,1
28,1256,2011,abril,4,28024,0,0,1,0,0,1
28,3290,2014,enero,1,28022,0,0,2,0,0,1
28,584,2010,junio,6,28014,0,1,0,0,2,1
28,3366,2014,marzo,3,28015,0,3,0,0,0,1
28,2007,2012,enero,1,28021,0,3,0,0,0,1
28,4159,2017,octubre,10,28033,0,0,0,0,0,1
28,56,2008,febrero,2,28032,0,0,0,0,3,1
28,4199,2017,noviembre,11,28025,0,0,0,0,0,1
28,2046,2012,enero,1,28041,0,0,3,0,0,1
28,4537,2019,marzo,3,28027,0,0,3,0,0,1
28,4343,2018,julio,7,28027,0,0,0,0,0,1
28,988,2011,enero,1,28032,0,0,0,0,0,1
28,2258,2012,abril,4,28027,0,0,3,0,0,1
28,3020,2013,mayo,5,28021,0,0,0,1,3,1
28,125,2008,octubre,10,28005,1,0,0,0,0,1
28,1419,2011,junio,6,28032,0,1,2,0,0,1
28,3789,2016,marzo,3,28027,0,0,1,0,0,1
28,4144,2017,octubre,10,28032,0,0,0,0,0,1
28,3899,2016,octubre,10,28027,0,0,0,1,3,1
28,569,2010,mayo,5,28014,0,0,1,0,0,1
28,1911,2011,diciembre,12,28033,0,0,0,0,0,1
28,4004,2017,mayo,5,28027,0,0,0,2,2,1
28,4155,2017,octubre,10,28033,0,0,0,0,2,1
28,1458,2011,junio,6,28012,0,0,0,0,6,1
28,2123,2012,febrero,2,28035,0,0,0,0,0,1
28,1812,2011,octubre,10,28040,0,0,1,0,0,1
28,3469,2014,julio,7,28032,0,0,0,0,3,1
28,3967,2017,marzo,3,28033,0,0,1,0,0,1
28,3994,2017,abril,4,28032,0,0,0,0,0,1
28,917,2010,noviembre,11,28003,0,0,0,0,0,1
28,4266,2018,febrero,2,28027,0,0,0,0,0,1
28,2497,2012,agosto,8,28032,0,0,4,0,0,1
28,3272,2013,diciembre,12,28032,0,0,0,0,0,1
28,2471,2012,julio,7,28027,0,0,3,0,0,1
28,2397,2012,junio,6,28041,0,0,3,0,0,1
28,4535,2019,marzo,3,28027,0,0,1,0,0,1
28,3673,2015,junio,6,28024,0,0,1,0,0,1
28,2448,2012,julio,7,28041,0,1,2,0,0,1
28,923,2010,noviembre,11,28024,0,0,0,2,6,1
28,4369,2018,julio,7,28015,0,0,0,0,0,1
28,3191,2013,octubre,10,28027,0,0,0,0,0,1
28,2176,2012,marzo,3,28033,0,0,0,0,0,1
