clave_entidad,clave_municipal,poblacion_2020,pob_acce_muy_baja_o_baja,porc_pob_acce_muy_baja_o_baja
31,31079,"45,062",596,1.3
31,31080,"11,020",4,0
31,31081,"3,355",4,0.1
31,31082,"3,512",3,0.1
31,31083,"1,915",0,0
31,31084,"7,037",0,0
31,31085,"16,680",25,0.1
31,31086,"2,133",3,0.1
31,31087,"5,464",0,0
31,31088,"1,917",0,0
31,31089,"40,495",2,0
31,31090,"7,503",0,0
31,31091,"12,700",0,0
31,31092,"7,888",4,0.1
31,31093,"18,420",23,0.1
31,31094,"5,444",0,0
31,31095,"5,690",0,0
31,31096,"80,672",278,0.3
31,31097,"3,684",5,0.1
31,31098,"15,346",176,1.1
31,31099,"4,191",75,1.8
31,31100,"4,049",0,0
31,31101,"69,147",0,0
31,31102,"85,460",154,0.2
31,31103,"3,451",0,0
31,31104,"16,350",220,1.3
31,31105,"3,293",0,0
31,31106,"2,215",0,0
32,32001,"6,260",163,2.6
32,32002,"4,942",425,8.6
32,32003,"2,277",97,4.3
32,32004,"4,493",126,2.8
32,32005,"45,759",303,0.7
32,32006,"8,255",2,0
32,32007,"12,115","1,354",11.2
32,32008,"13,466",530,3.9
32,32009,"10,086",626,6.2
32,32010,"240,532","3,467",1.4
32,32011,"3,362",168,5
32,32012,"8,168",273,3.3
32,32013,"6,644",39,0.6
32,32014,"20,191","4,662",23.1
32,32015,"1,579",182,11.5
32,32016,"23,526",4,0
32,32017,"211,740",72,0
32,32018,"4,547",599,13.2
32,32019,"25,296","1,372",5.4
32,32020,"59,910","1,285",2.1
32,32021,"4,465","1,488",33.3
32,32022,"19,749",4,0
32,32023,"12,251",23,0.2
32,32024,"53,709",115,0.2
32,32025,"13,184",12,0.1
32,32026,"17,774","5,549",31.2
32,32027,"2,736","1,461",53.4
32,32028,"2,451",465,19
32,32029,"23,713",527,2.2
32,32030,"2,446",82,3.4
32,32031,"8,683",887,10.2
32,32032,"13,207",42,0.3
32,32033,"4,530",244,5.4
32,32034,"27,945",353,1.3
32,32035,"16,284",27,0.2
32,32036,"44,144","1,378",3.1
32,32037,"17,577",516,2.9
32,32038,"72,241","15,399",21.3
32,32039,"64,535","1,223",1.9
32,32040,"21,844",728,3.3
32,32041,"2,509",420,16.7
32,32042,"63,665","6,197",9.7
32,32043,"1,365",15,1.1
32,32044,"16,588",208,1.3
32,32045,"8,321",688,8.3
32,32046,"6,490","1,282",19.8
32,32047,"5,356",475,8.9
32,32048,"27,302","1,668",6.1
32,32049,"32,461","8,122",25
32,32050,"10,276",0,0
32,32051,"34,623","2,913",8.4
32,32052,"19,525",548,2.8
32,32053,"13,208","1,217",9.2
32,32054,"19,446",788,4.1
32,32055,"31,558",851,2.7
32,32056,"149,607",141,0.1
32,32057,"20,455",0,0
32,32058,"2,767",364,13.2
