CLAVEGEO,"UBICACIÓN TÉCNICA",DENOMINACIÓN,SERVICIO,"ÊLTIMO ESTADO REPORTADO",ORIGEN,DESTINO,"DIÁMETRO EXTERNO (PLG) ","TIPO DE TUBERÍA","TIPO DE HIDROCARBURO","LONGITUD (KM)"
CGD0002741,PEP-SUR-MAC-JCO-C18-LDD-L0088,"LDD P JC 88 - ER JC 1  3"" X 0.550 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO JOSE COLOMO 88","EST. REC. JOSE COLOMO 1",3,"ACERO AL CARBON","DULCE HUMEDO",0.55
CGD0002553,PEP-SUR-BLJ-GPC-B59-LDD-L0091,"LDD P TUP 91-BAT TUP 2 3""X1.125 km","LINEA DE DESCARGA",OPERANDO,"POZO TUPILCO 91","BATERIA TUPILCO 2",3,"ACERO AL CARBON","ACEITE Y GAS",1.125
CGD0016288,PEP-SUR-CPT-BCN-A58-LDD-L0204,"LDD P GUA 0204-CAB GUA 0001 4""X0.162 km","LINEA DE DESCARGA",OPERANDO,"POZO GUARICHO 0204","CABEZAL GUARICHO 0001",4,"ACERO AL CARBON","ACEITE Y GAS",0.162
CGD0002994,PEP-SUR-CPT-BCN-A33-LDD-L0810,"LDD P OGA 0810-BAT OGA 5 3""X1.538 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO OGARRIO 0810","BATERIA OGARRIO 0005",3,"ACERO AL CARBON","ACEITE Y GAS",1.538
CGD0013896,PEP-NTE-PRA-FJO-237-LDD-L0060,"LDD P JILIAP 60-BSE JILIAP II 3""x1.790KM","LINEA DE DESCARGA",OPERANDO,"POZO JILIAPA 60","BSE JILIAPA II",3,"ACERO AL CARBON","ACEITE Y GAS",1.79
CGD0007712,PEP-NTE-BUR-RFC-428-LDD-L0057,"LDD CA?ON 57-I ECLIPSE 2  3"" X 0.443  KM","LINEA DE DESCARGA",OPERANDO,"POZO CA?ON 57","INT ECLIPSE 2 (E CA?ON 1)",3,"ACERO AL CARBON","DULCE HUMEDO",0.443
CGD0015806,PEP-NTE-VER-BM1-713-LDD-L0402,"LDD P MECAY 402-ERG MECAY 3,4 x1.865Km","LINEA DE DESCARGA",OPERANDO,"POZO MECAYUCAN 402","ERG MECAYUCAN",3,"ACERO AL CARBON","GAS AMARGO",1.865
CGD0001704,PEP-SUR-MUS-SMA-D07-LDD-L0014,"LDD P COPANO 14-CAB COPANO 43 4""X0.045km","LINEA DE DESCARGA",OPERANDO,"POZO COPANO 14","CABEZAL COPANO 43",4,"ACERO AL CARBON","ACEITE Y GAS",0.045
CGD0005054,PEP-SUR-SML-LUN-BO1-OLG-DN002,"OLG K CAP 31-BAT PIJIJE 8""X1.719km (L-1)",OLEOGASODUCTO,"FUERA DE OPERACION TEMPORAL","CABEZAL CAPARROSO 31","BATERIA PIJIJE",8,"ACERO AL CARBON","ACEITE Y GAS",1.719
CGD0017934,PEP-SUR-CPT-BCN-A27-LDD-L0477,"LDD P SOLD 477-BAT SOLD 3""X1.290 km","LINEA DE DESCARGA",OPERANDO,"POZO LOS SOLDADOS 477","BATERIA LOS SOLDADOS",3,"ACERO AL CARBON","ACEITE Y GAS",1.29
CGD0015239,PEP-NTE-ATG-TAJ-282-LDD-L0346,"LDD P TAJ 346-BSE TAJ I 4"" x1.607KM","LINEA DE DESCARGA",OPERANDO,"POZO TAJIN 346","BSE TAJIN I",4,"ACERO AL CARBON","ACEITE PESADO",1.607
CGD0017337,PEP-SUR-BLJ-JTE-C79-NO2-D0001,"NO2 P TEC 466-P JUJO 654 6""X1.272 km",NITROGENODUCTO,OPERANDO,"POZO TECOMINOACAN 466","POZO JUJO 654",6,"ACERO AL CARBON","GAS DULCE",1.272
CGD0002620,PEP-SUR-MAC-JCO-C10-LDD-L0038,"LDD P CHILAP 38-ER CHILAP 3"" X 2.650 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CHILAPILLA 38","EST. REC. CHILAPILLA",3,"ACERO AL CARBON","DULCE HUMEDO",2.65
CGD0000341,PEP-SDC-GNE-CYO-Q34-OLD-D0059,"OLD CYM2 - MANF D-0059 36""   X 0.36",OLEODUCTO,OPERANDO,"CAYO ARCAS (MEDICION L2)",MANIFOLD,36,"ACERO AL CARBON",MAYA,3.35
CGD0000537,PEP-SDC-GSR-SSG-F54-GDO-D0006,"GDO TDE CUND 21-TDR SAM II 24""X6.127 km",GASODUCTO,OPERANDO,"TDE CUNDUACAN 21","TDR SAMARIA II",24,"ACERO AL CARBON","GAS AMARGO",6.127
CGD0015897,PEP-NTE-BUR-CUL-408-LDD-L0389,"LDD ARCABUZ 389-E ARCABUZ 7 3"" X1.583 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO ARCABUZ 389","EST. ARCABUZ 7",3,"ACERO AL CARBON","DULCE SECO",1.583
CGD0012564,PEP-NTE-BUR-LMA-503-LDD-L017C,"LDD PANDURA 17C-I OASIS 89 3""X1.311 KM","LINEA DE DESCARGA",OPERANDO,"POZO PANDURA 17C","INT. OASIS 89 (E OASIS 1)",3,"ACERO AL CARBON","DULCE SECO",1.311
CGD0019401,PEP-SUR-CPT-CUM-A73-OLG-D0003,"OLG CAB BRI 04-INT OLG BRI 1 4""X0.384 km",OLEOGASODUCTO,OPERANDO,"CABEZAL BRILLANTE 04","INT OLG CAB BRILLANTE 01",4,"ACERO AL CARBON","ACEITE Y GAS",0.384
CGD0007106,PEP-NTE-BUR-PBA-416-LDD-L0162,"LDD BENAVIDES 162-E BENAV 2 2""X1.169KM","LINEA DE DESCARGA",OPERANDO,"POZO BENAVIDES 162","EST. BENAVIDES 2",2,"ACERO AL CARBON","DULCE SECO",1.169
CGD0016409,PEP-SUR-SML-CUN-D46-LDD-L1312,"LDD P CUN 1023-CAB F CUN 25 6""X0.250 km","LINEA DE DESCARGA",OPERANDO,"POZO CUNDUACAN 1023","CABEZAL FORANEO CUNDUACAN 25",6,"ACERO AL CARBON","ACEITE Y GAS",0.25
CGD0000361,PEP-SDC-GNE-AKB-P32-OLG-D0147,"OLG BTB - INL140 D-0147 14""   X 1.317 km",OLEOGASODUCTO,OPERANDO,BALAM-TB,"INT D-140 (BLM-1 / AK-C)",14,"ACERO AL CARBON","ACEITE Y GAS",1.317
CGD0003181,PEP-SUR-CPT-CPB-A09-LDD-L0151,"LDD P 5 PTES 151-BAT 5PTES 5 3""X1.076 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO 5 PTES 0151","BATERIA 5 PTES 0005",3,"ACERO AL CARBON",ISTMO,1.076
CGD0006275,PEP-NTE-BUR-LMA-439-LDD-L0775,"LDD CORINDON 775-E CORINDON 3 3""X3.945KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO CORINDON 775","EST. CORINDON 3",3,"ACERO AL CARBON","DULCE SECO",3.945
CGD0000691,PEP-SUR-SML-CUN-D46-OLG-D0255,"OLG CAB CUN 25- CAB BAT CUN 8""X2.994 km",OLEOGASODUCTO,OPERANDO,"CABEZAL CUNDUACAN 25 (L.M)","CABEZAL BATERIA CUNDUACAN",8,"ACERO AL CARBON","ACEITE Y GAS",2.994
CGD0008809,PEP-NTE-BUR-LMA-439-LDD-L0558,"LDD CORINDON 558-M CORIND 546 3""X1.859KM","LINEA DE DESCARGA",OPERANDO,"POZO CORINDON 558","MOD.CORINDON 546 (E CORIN 2)",3,"ACERO AL CARBON","DULCE SECO",1.859
CGD0010349,PEP-NTE-PRA-FOC-094-LDD-L0064,"LDD P MORAL 64-INT LDD MOR 69 3""X0.144KM","LINEA DE DESCARGA",OPERANDO,"POZO MORALILLO 64","INT. LDD MORALILLO 69",3,"ACERO AL CARBON","ACEITE PESADO",0.144
CGD0010148,PEP-NTE-PRA-EPC-014-LDD-LB046,"LDD P BARBER 46-EST BARBERENA 4""X0.375KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO BARBERENA 46","ESTACION BARBERENA",4,"ACERO AL CARBON","ACEITE Y GAS",0.375
CGD0008467,PEP-NTE-BUR-CUE-487-LDD-L0503,"LDD MOJARRE?AS 503-I PIC 106 3""X3.326 KM","LINEA DE DESCARGA",OPERANDO,"POZO MOJARRE?AS 503","INT. PICADILLO 106 (E MOJ 4)",3,"ACERO AL CARBON","DULCE HUMEDO",3.326
CGD0011385,PEP-NTE-PRA-TAC-005-LDD-LK228,"LDD P CONST 228-BSE 5 CONST 4""X1.054 KM","LINEA DE DESCARGA",OPERANDO,"POZO CONSTITUCIONES 228","BATERIA 5 CONSTITUCIONES",4,"ACERO AL CARBON","ACEITE PESADO",1.054
CGD0002345,PEP-SUR-BLJ-CAR-B45-LDD-L0308,"LDD P CRD 308-CAB CRD 107 8""X2.526 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CARDENAS 308","CABEZAL PERIFERICO CARD 107",8,"ACERO AL CARBON","ACEITE Y GAS",2.526
CGD0008973,PEP-NTE-BUR-RFC-392-LDD-L0048,"LDD SIGMA 48 - E FUNDADOR 1 3""X2.724 Km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO SIGMA 48","EST. FUNDADOR 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.724
CGD0010611,PEP-NTE-PRA-THS-129-OLD-D0365,"OLD MOD 1 3HNOS-OLD 10"" SDIEGO 8""x0.412",OLEODUCTO,OPERANDO,"MODULO 1 TRES HERMANOS","OLD. 10"" SAN DIEGO-TDD THNOS",4,"ACERO AL CARBON","ACEITE PESADO",1.674
CGD0011994,PEP-NTE-BUR-CUL-405-LDD-L007T,"LDD ALONDRA 7T-E ALONDRA 1 4"" X4.181KM","LINEA DE DESCARGA",OPERANDO,"POZO ALONDRA 7T","EST. ALONDRA 1",4,"ACERO AL CARBON","DULCE SECO",4.181
CGD0005323,PEP-SUR-SML-CUN-D46-GLD-D0215,"GLD BAT CUN-TD SAM II 8""X 6.921 km",GASOLINODUCTO,"FUERA DE OPERACION TEMPORAL","BATERIA CUNDUACAN","TRAMPAS SAMARIA II",8,"ACERO AL CARBON",GASOLINA,6.921
CGD0002130,PEP-SUR-SML-SAM-D54-LDD-L1273,"LDD SAM 835 - CAB SAM 837 6"" X 0.391 km","LINEA DE DESCARGA",OPERANDO,"SAMARIA 835","CABEZAL SAMARIA 837",6,"ACERO AL CARBON","ACEITE Y GAS",0.391
CGD0004958,PEP-SUR-BLJ-JTE-C74-OLG-D0347,"OLG CAB FEN-TDR PAR 16""X17.641 km",OLEOGASODUCTO,"FUERA DE OPERACION TEMPORAL","CABEZAL PERIFERICO FENIX","TRAMPAS PAREDON",16,"ACERO AL CARBON","ACEITE Y GAS",17.641
CGD0003144,PEP-SUR-CPT-CPB-A09-LDD-L0158,"LDD P 5PTES 0158-BAT 5PTES 2 3""X0.847 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO 5 PTES 0158","BATERIA 5 PTES 0002",3,"ACERO AL CARBON","GAS DULCE",0.847
CGD0008065,PEP-NTE-BUR-LMA-560-LDD-L2008,"LDD VELERO 2008-I JAUJAL 31D 4""X8.044KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO VELERO 2008","INT JAUJAL 31D(E JAUJAL 1)",4,"ACERO AL CARBON","DULCE SECO",8.044
CGD0017371,PEP-NTE-ATG-SLD-279-OLG-DM286,"OLG MP PBLANC 286-MP SOL 505 8"" x3.049KM",OLEOGASODUCTO,OPERANDO,"MP PALO BLANCO 286","MP SOLEDAD 505",8,"ACERO AL CARBON","ACEITE PESADO",3.049
CGD0019248,PEP-SUR-MUS-CAS-D02-LDD-L0024,"LDD P ARTESA 24-BAT ARTESA 6""X0.476 km","LINEA DE DESCARGA",OPERANDO,"POZO ARTESA 24","BATERIA ARTESA",6,"ACERO AL CARBON","ACEITE Y GAS",0.476
CGD0002879,PEP-SUR-MAC-USU-C38-LDD-L0001,"LDD P XICALANGO 1-ER XIC 4""X1.000 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO XICALANGO 1","EST REC XICALANGO",4,"ACERO AL CARBON","DULCE SECO",0.046
CGD0014656,PEP-NTE-ATG-TAJ-27B-LDD-L0271,"LDD P ALEM 271-BSE CHOTE 4"" x2.143KM","LINEA DE DESCARGA",OPERANDO,"POZO PRESIDENTE ALEMAN 271","BSE CHOTE I",4,"ACERO AL CARBON","ACEITE PESADO",2.143
CGD0008011,PEP-NTE-BUR-TOR-444-LDD-L0866,"LDD CUITL866- INT CUITL800 3""X1.384KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 866","INT.CUITLAHUAC 800 (E TORR 1)",3,"ACERO AL CARBON","DULCE HUMEDO",1.384
CGD0015100,PEP-NTE-ATG-SLD-279-LDD-L0105,"LDD P SOL 105-BSE SOL I 4"" x1.436KM","LINEA DE DESCARGA",OPERANDO,"POZO SOLEDAD 105","BSE SOLEDAD I",4,"ACERO AL CARBON","ACEITE LIGERO",1.436
CGD0017957,PEP-NTE-PRA-FOC-125-LDD-LS113,"LDD P T BLAN 1113-LDD TBLAN11 3""X0.181KM","LINEA DE DESCARGA",OPERANDO,"POZO TIERRA BLANCA 1113","INT LDD 4,6"" TIERRA BLANCA 11",3,"ACERO AL CARBON","ACEITE Y GAS",0.181
CGD0006084,PEP-NTE-BUR-LMA-409-LDD-L0047,"LDD ARCOS 47 - E ARCOS 3  4"" X 2.367 KM","LINEA DE DESCARGA",OPERANDO,"POZO ARCOS 47","EST. ARCOS 3",4,"ACERO AL CARBON","DULCE SECO",2.367
CGD0009351,PEP-NTE-BUR-TOR-444-LDD-L0372,"LDD CUITL 372- E CUITLAHUAC 6 3""X5.925KM","LINEA DE DESCARGA",OPERANDO,"POZO CUITLAHUAC 372","EST. CUITLAHUAC 6",3,"POLIETILENO ALTA DENSIDAD","DULCE HUMEDO",5.925
CGD0002126,PEP-SUR-SML-SAM-D54-LDD-L1269,"LDD SAM 808 -CAB SAM 840 6"" X 0.181 km","LINEA DE DESCARGA",OPERANDO,"SAMARIA 808","CABEZAL SAMARIA 840",6,"ACERO AL CARBON","ACEITE Y GAS",0.181
CGD0009094,PEP-NTE-BUR-RFC-547-LDD-L0005,"LDD TERREGAL 5-EST. REYNOSA18 3X4.384KM","LINEA DE DESCARGA",OPERANDO,"POZO TERREGAL 5","EST. REYNOSA 18",3,"ACERO AL CARBON","DULCE HUMEDO",4.384
CGD0012383,PEP-NTE-BUR-CUL-445-LDD-L0471,"LDD CULEBRA 471 - E CULEBRA 6 3""X2.806KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 471","EST. CULEBRA 6",3,"ACERO AL CARBON","DULCE SECO",2.806
CGD0008496,PEP-NTE-BUR-LMA-453-LDD-L0015,"LDD  EMU 15 - E EMU 1 3""X 1.550 KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO EMU 15","EST. EMU 1",3,"ACERO AL CARBON","DULCE SECO",1.55
CGD0007989,PEP-NTE-ATG-TAJ-200-GDO-DCOA2,"GDO BSE COAP II-EC TAJIN I 16"" x3.786 KM",GASODUCTO,OPERANDO,"BSE COAPECHACA II","EC TAJIN I",16,"ACERO AL CARBON","GAS AMARGO",3.786
CGD0008649,PEP-NTE-BUR-LMA-464-LDD-L1629,"LDD GIGANTE 1629 -E GIGANTE2 3"" X3.077KM","LINEA DE DESCARGA",OPERANDO,"POZO GIGANTE 1629","EST. GIGANTE 2",3,"ACERO AL CARBON","DULCE SECO",3.077
CGD0006265,PEP-NTE-BUR-LMA-439-LDD-L0603,"LDD CORINDON 603-E CORIN 3  3"" X 3.544KM","LINEA DE DESCARGA",OPERANDO,"POZO CORINDON 603","EST. CORINDON 3",3,"ACERO AL CARBON","DULCE SECO",3.544
CGD0015359,PEP-NTE-PRA-FJO-285-LDD-L0022,"LDD P TEJADA 22-BSE TEJADA 4""x0.414KM","LINEA DE DESCARGA",OPERANDO,"POZO TEJADA 22","BSE TEJADA",4,"ACERO AL CARBON",POZOLEO,0.414
CGD0019259,PEP-NTE-BUR-NEJ-603-LDD-L0031,"LDD NEJO 31- E  NEJO 3 3"" X0.729 KM","LINEA DE DESCARGA",OPERANDO,"POZO NEJO 31","EST. NEJO 3",3,"ACERO AL CARBON","DULCE HUMEDO",0.729
CGD0014374,PEP-NTE-PRA-FJO-268-LDD-L0001,"LDD P P AYALA 1-BSE TEJADA 4""x1.950KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO PLAN DE AYALA 1","BSE TEJADA",4,"ACERO AL CARBON","ACEITE Y GAS",1.95
CGD0002346,PEP-SUR-BLJ-CAR-B45-LDD-L0318,"LDD P CRD 318-CAB CRD 107 8""X2.367 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CARDENAS 318","CABEZAL PERIFERICO CARD 107",8,"ACERO AL CARBON","ACEITE Y GAS",2.367
CGD0013415,PEP-NTE-ATG-AGF-175-OLG-DM843,"OLG MP AF 841-BSE ANT  (MED)4"" x0.957KM",OLEOGASODUCTO,"FUERA DE OPERACION DEFINITIVA","MP AGUA FRIA 841","BSE ANTARES",4,"ACERO AL CARBON","ACEITE Y GAS",0.957
CGD0000896,PEP-SUR-CPT-CUM-A30-OLG-D0138,"OLG CAB P MOL 0301-BAT MOL3 4""X0.640 km",OLEOGASODUCTO,OPERANDO,"CABEZAL POZO MOLOACAN 301","BATERIA MOLOACAN 0003",4,"ACERO AL CARBON","ACEITE Y GAS",0.64
CGD0000099,PEP-SDC-GNE-AKC-P01-GDO-D0210,"GDO AK C - AK J D-0210 24""   X 5.586 KM",GASODUCTO,"FUERA DE OPERACION TEMPORAL","AKAL-C8 (COMPRESION 3)","AKAL-J4 (COMPRESION)",24,"ACERO AL CARBON","GAS AMARGO",5.586
CGD0011256,PEP-NTE-PRA-TAC-005-GDO-D9455,"GDO B 5 CON-TCAL 1 CON/COMP 3 8""X2.090KM",GASODUCTO,OPERANDO,"BATERIA 5 CONSTITUCIONES","TCAL 1 CONSTI/COMPRESORAS 3",8,"ACERO AL CARBON","GAS AMARGO",2.09
CGD0006773,PEP-NTE-BUR-TOR-437-LDD-L0027,"LDD COMITAS 27 -E COMITAS 1 3"" X2.641KM","LINEA DE DESCARGA",OPERANDO,"POZO COMITAS 27","EST. COMITAS 1",3,"ACERO AL CARBON","DULCE HUMEDO",2.641
CGD0007181,PEP-NTE-BUR-CUL-445-LDD-L0542,"LDD CULEBRA 542-E CULEBRA 6 2""X3.600KM","LINEA DE DESCARGA",OPERANDO,"POZO CULEBRA 542","EST. CULEBRA 6",2,"ACERO AL CARBON","DULCE SECO",3.6
CGD0001066,PEP-SUR-BLJ-JTE-C75-OLG-D0341,"OLG CAB JAC-TDR PAR 8""X6.611 km",OLEOGASODUCTO,OPERANDO,"CABEZAL PERIFERICO JACINTO","TRAMPAS PAREDON",8,"ACERO AL CARBON","ACEITE Y GAS",6.611
CGD0005150,PEP-SUR-MUS-SMA-D08-LDD-L0002,"LDD P CHIAPAS 02-BAT CHIAPAS 8""X1.035 km","LINEA DE DESCARGA",OPERANDO,"POZO CHIAPAS 02","BATERIA DE SEPARACION CHIAPAS",8,"ACERO AL CARBON","ACEITE Y GAS",1.035
CGD0017079,PEP-NTE-PRA-SNA-274-LBN-D2403,"LBN P S AND 155-P S AND 22 8""x2.709KM","LINEA DE BOMBEO NEUMATICO",OPERANDO,"POZO SAN ANDRES 155","POZO SAN ANDRES 22",8,"ACERO AL CARBON","BOMBEO NEUMATICO",2.709
CGD0007175,PEP-NTE-BUR-CUL-445-LDD-L0207,"LDD CULEBRA 207-E CULEBRA 6 3""X1.718KM","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CULEBRA 207","EST. CULEBRA 6",3,"ACERO AL CARBON","DULCE SECO",1.718
CGD0014563,PEP-NTE-ATG-TAJ-27B-LDD-L0124,"LDD P ALEM 124-BSE PR XVIII 4"" x0.560KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO PRESIDENTE ALEMAN 124","BSE POZA RICA XVIII",4,"ACERO AL CARBON","ACEITE Y GAS",0.016
