CLAVEGEO,"UBICACIÓN TÉCNICA",DENOMINACIÓN,SERVICIO,"ÊLTIMO ESTADO REPORTADO",ORIGEN,DESTINO,"DIÁMETRO EXTERNO (PLG) ","TIPO DE TUBERÍA","TIPO DE HIDROCARBURO","LONGITUD (KM)"
"NO APLICA",6002501170RENG001,"OLG PP MIZTON WHP-LTE 10""X22.68 KM",OLEOGASODUCTO,OPERANDO,"PP MIZTON WHP","PUNTO TERMINACION EN COSTA (LTE)",10,POLIPROPILENO,MULTIFASICO,22.68
"NO APLICA",60020502170RENG001,"OLG LTE-ORF 10""X1.77 KM",OLEOGASODUCTO,OPERANDO,"PUNTO TERMINACION EN COSTA (LTE)","PLANTA RECEPTORA EN TIERRA (ORF)",10,"ACERO AL CARBON",MULTIFASICO,1.77
"NO APLICA",6005BS01170RENG001,"OLD ORF-BSE SAN RAMON 10""X2.64KM",OLEODUCTO,OPERANDO,"PLANTA RECEPTORA EN TIERRA (ORF)","BATERIA DE SEPARACION SAN RAMON",10,"ACERO AL CARBON",MULTIFASICO,2.64
CGD0002520,PEP-SUR-BLJ-GPC-B58-LDD-L0002,"LDD P TIN 2-BAT TIN 3""X0.74 km","LINEA DE DESCARGA",OPERANDO,"POZO TINTAL 2","BATERIA TINTAL",3,"ACERO AL CARBON","ACEITE Y GAS",0.74
"SIN DATO",PEP-NTE-BUR-TOR-663-GDO-D0001,"GDO ERG BRAGADO 1-ERG BAYO 1 6""X10.127KM",GASODUCTO,OPERANDO,"ERG BRAGADO 1","ERG BAYO 1",6,"SIN DATO",,10.127
ND,"SIN DATO","LDD P SINI 1-INT OLG C ESCARBADO 1 BAT PIJ 8"" X 1.579 KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 1","NT OLG C ESCARBADO 1 BAT PIJIJE",8,"SIN DATO","ACEITE Y GAS",1.579
CGD0002285,PEP-DUC-PRO-LBNS4-D0803,"LBN RAM 2"" RBN 3""-P OGA 803 2""X0.124 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"RAMAL 2"" EN RBN 3""","POZO OGARRIO 803",2,"ACERO AL CARBONO","DULCE HUMEDO",0.124
CGD0000823,PEP-DUC-PRO-LBNS4-D0803D,"LBN INJ 2"" RAM 3""-P OGA 803D 2""X0.078 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RAM 3""","POZO OGARRIO 803D",2,"ACERO AL CARBONO","GAS DULCE",0.078
CGD0018578,PEP-DUC-PRO-LBNS4-D1472,"LBN INJ 2"" RAM 3""-P OGA 1472 2""X0.140 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"LBN INJ 2"" RAM 3""","POZO OGARRIO 1472",2,"ACERO AL CARBONO","DULCE HUMEDO",0.14
CGD0016367,PEP-DUC-PRO-LBNS4-D1215,"LBN INJ 2"" RBN 4""-P OGA 1215 2""X0.056 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1215",2,"ACERO AL CARBONO","DULCE HUMEDO",0.056
CGD0016365,PEP-DUC-PRO-LBNS4-D1253,"LBN INJ 2"" RBN 4""-P OGA 1253 2""X0.052 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1253",2,"ACERO AL CARBONO","DULCE HUMEDO",0.052
CGD0016350,PEP-DUC-PRO-LBNS4-D1237,"LBN INJ 2"" RBN 4""-P OGA 1237 2""X0.035 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1237",2,"ACERO AL CARBONO","DULCE HUMEDO",0.035
CGD0016366,PEP-DUC-PRO-LBNS4-D1239,"LBN INJ 2"" RBN 4""-P OGA 1239 2""X0.083 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 4""","POZO OGARRIO 1239",2,"ACERO AL CARBONO","DULCE HUMEDO",0.083
"SIN DATO",PEP-DUC-PRO-LBNS4-D1283,"LBN INJ 2"" RBN 4""-P OGA 1283 2""X0.076 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RBN 4""","POZO OGARRIO 1283",2,"ACERO AL CARBONO","DULCE HUMEDO",0.076
"SIN DATO",PEP-DUC-PRO-LBNS4-D1601,"LBN INJ 2"" RAM 4""-P OGA 1601 2""X0.067 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RAM 4""","POZO OGARRIO 1601",2,"ACERO AL CARBONO","DULCE HUMEDO",0.067
CGD0016385,PEP-DUC-PRO-LBNS4-D1476,"LBN INT 2"" RBN 3""-P OGA 1476 2""X0.138 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" EN RBN 3""","POZO OGARRIO 1476",2,"ACERO AL CARBONO","DULCE HUMEDO",0.138
"SIN DATO",PEP-DUC-PRO-LBNS4-D1600,"LBN INJ 2"" RAM 2""-P OGA 1600 2""X0.073 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"INJ 2"" RAM 2""","POZO OGARRIO 1600",2,"ACERO AL CARBONO","DULCE HUMEDO",0.073
"SIN DATO",PEP-DUC-PRO-LBNS4-D1488,"LBN 2"" INJ 2""-P OGA 1488 2""X0.080 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"LBN 2"" INJ 2""","POZO OGARRIO 1488",2,"ACERO AL CARBONO","DULCE HUMEDO",0.08
"SIN DATO",PEP-DUC-PRO-LBNS4-D1476D,"LBN 2"" INJ 2""-P OGA 1476D 2""X0.096 km","LINEA DE BOMBEO NEUMATICO",OPERANDO,"LBN 2"" INJ 2""","POZO OGARRIO 1476D",2,"ACERO AL CARBONO","DULCE HUMEDO",0.096
CGD0000063,PEP-SDC-GNE-AKJ-P01-GDO-D0179,"GDO AK J - AK C D-0179 24""   X 4.978 KM",GASODUCTO,OPERANDO,"AKAL-J4 (COMPRESION)","AKAL-C (PRODUCCION-2)",24,"ACERO AL CARBON","GAS AMARGO",4.978
CGD0000301,PEP-SDC-GNE-AKN-P01-GDO-D0163,"GDO AKB-P - AKE-P D163 24""  X 3.316 KM",GASODUCTO,"FUERA DE OPERACION TEMPORAL","AKAL-B (PERFORACION)","AKAL-E (PERFORACION)",24,"ACERO AL CARBON","GAS AMARGO",3.316
CGD0009050,PEP-NTE-BUR-LMA-523-LDD-L1110,"LDD QUITRIN 1110-E QUITRIN 2 3""X4.879KM","LINEA DE DESCARGA",OPERANDO,QUITRIN-1110,"ERG QUITRIN 2",3,"ACERO AL CARBONO","DULCE SECO",4.879
"SIN DATO",PEP_DUC_PRO_LDDS4_D0069,"LDD OGARRIO 4-CAB OGARRIO 69 4""X1.003KM","LINEA DE DESCARGA",OPERANDO,OGARRIO-4,"CABEZAL OGARRIO 69",4,"SIN DATO","SIN DATO",1.003
"SIN DATO",PEP_DUC_PRO_LDDS4_D0707,"LDD OGARRIO 707-CAB OGARRIO 707 2""X0.071KM","LINEA DE DESCARGA",OPERANDO,OGARRIO-707,"CABEZAL OGARRIO 707",2,"SIN DATO","SIN DATO",0.071
CGD0001792,PEP-DUC-PRO-LBNS4-D3275,"LDD P OGA 1217-CAB P OGA 1235 3""X0.093km","LINEA DE DESCARGA",OPERANDO,OGARRIO-1217,"CABEZAL OGARRIO 1235",3,"ACERO AL CARBONO",ISTMO,0.093
CGD0001481,"PEP_DUC_PRO_LDDS4_D0004
PEP_DUC_PRO_LDDS4_D0004","LDD P OGA 1401-CAB OGA 827 3""X0.247 km","LINEA DE DESCARGA",OPERANDO,"OGARRIO 827","CABEZAL OGARRIO 827",3,"ACERO AL CARBONO","ACEITE Y GAS",0.247
CGD0001482,PEP_DUC_PRO_LDDS4_D1411,"LDD P OGA 1411-CAB P OGA 0827 3""X0.185km","LINEA DE DESCARGA",OPERANDO,OGARRIO-1411,"CABEZAL OGARRIO 827",3,"ACERO AL CARBONO","ACEITE Y GAS",0.185
CGD0001798,PEP_DUC_PRO_LDDS4_D1421,"LDD P OGA 1421-CAB P OGA 0827 3""X0.148km","LINEA DE DESCARGA",OPERANDO,OGARRIO-1421,"CABEZAL OGARRIO 827",3,"ACERO AL CARBONO","GAS DULCE",0.148
CGD0001483,PEP_DUC_PRO_LDDS4_D1413,"LDD P OGA 1413-CAB P OGA 827 3""X0.285 km","LINEA DE DESCARGA",OPERANDO,"POZO OGARRIO 1413","CABEZAL DEL POZO OGA 0827",3,"ACERO AL CARBONO","ACEITE Y GAS",0.285
"SIN DATO",PEP_DUC_PRO_LDDS4_D0815,"LDD OGARRIO 1487-CAB OGA 1487 4""X0.078KM","LINEA DE DESCARGA",OPERANDO,OGARRIO-1487,"CAB OGARRIO 1487",4,"SIN DATO","SIN DATO",0.078
CGD0001793,PEP_DUC_PRO_LDDS4_D1235,"LDD P OGA 1235-CAB P OGA 1235 3""X0.090km","LINEA DE DESCARGA",OPERANDO,"OGARRIO 1235","CABEZAL OGARRIO 1235",3,"ACERO AL CARBONO","GAS DULCE",0.09
"SIN DATO",PEP_DUC_PRO_LDDS4_D1273,"LDD P OGA 1273-CAB OGA 1273 3""X0.158km","LINEA DE DESCARGA",OPERANDO,"POZO OGARRIO 1273","CABEZAL OGARRIO  1273",3,"SIN DATO","SIN DATO",0.158
"SIN DATO",PEP_DUC_PRO_LDDS4_D1279,"LDD P OGA 1279-CAB OGA 1273 3""X0.105km","LINEA DE DESCARGA",OPERANDO,"POZO OGARRIO 1279","CABEZAL OGARRIO 1273",3,"SIN DATO","SIN DATO",0.105
"NO APLICA",6005CS01170RENG001,"GDO ORF-EC SAN RAMON 10""X0.81KM",GASODUCTO,OPERANDO,"PLANTA RECEPTORA EN TIERRA (ORF)","ESTACION DE COMPRESION SAN RAMON",10,"ACERO AL CARBON",GAS,0.81
"SIN DATO","SIN DATO","LDD P ARCABUZ 617-E ARCABUZ 9 3""X0.560KM","LINEA DE DESCARGA",DESCONOCIDO,"POZO ARCABUZ 617","ERG ARCABUZ 9",3,"SIN DATO",DESCONOCIDO,0.56
CGD0007646,PEP-NTE-BUR-LMA-439-LDD-L0517,"LDD CORINDON 517-E CORIND 2 3"" X 3.007KM","LINEA DE DESCARGA",OPERANDO,"POZO CORINDON 517","EST. CORINDON 2",3,"ACERO AL CARBON","DULCE SECO",3.007
CGD0016460,PEP-SUR-BLJ-GPC-B46-LDD-L0009,"LDD P CTR 9-BAT CTR 3""X0.700 km","LINEA DE DESCARGA","FUERA DE OPERACION DEFINITIVA","POZO CASTARRICAL 9","BATERIA CASTARRICAL",3,"ACERO AL CARBON","NO APLICA",0.7
"SIN DATO","SIN DATO","GSD INT GAS 10""-CDG LA VENTA 202 6""X0.4 KM",GASODUCTO,OPERANDO,"INT GAS 10""","CABEZAL DE DISTRIBUCION DE GAS LA VENTA 202",6,"SIN DATO",GAS,0.4
"SIN DATO","SIN DATO","OLG CRP LA VENTA 202-CRP CP 935 8""X1.8 KM",OLEOGASODUCTO,OPERANDO,"CABEZAL DE RECOLECCION PERIFERICO LA VENTA 202","CABEZAL DE RECOLECCION PERIFERICO CINCO PRESIDENTES 935",8,"SIN DATO","ACEITE Y GAS",1.8
"SIN DATO","SIN DATO","OLG CRP ARROYO PRIETO 17-BSE GUARICHO 4""X0.7 KM",OLEOGASODUCTO,OPERANDO,"CABEZAL DE RECOLECCION PERIFERICO ARROYO PRIETO 17","BATERIA DE SEPARACION Y COMPRESORAS GUARICHO",4,"SIN DATO","ACEITE Y GAS",0.7
"SIN DATO","SIN DATO","OLG CRP ARROYO PRIETO 11-BSE GUARICHO 4""X0.7 KM",OLEOGASODUCTO,OPERANDO,"CABEZAL DE RECOLECCION PERIFERICO ARROYO PRIETO 11","BATERIA DE SEPARACION Y COMPRESORAS GUARICHO",4,"SIN DATO","ACEITE Y GAS",0.7
"SIN DATO","SIN DATO","OLG INT OLG 4"" GUARICHO 504-BSE GUARICHO 4""X0.7 KM",OLEOGASODUCTO,OPERANDO,"INT OLG 4"" GUARICHO 504-MOD GUARICHO","BATERIA DE SEPARACION Y COMPRESORAS GUARICHO",4,"SIN DATO","ACEITE Y GAS",0.7
"SIN DATO","SIN DATO","OLG CRP ARROYO PRIETO 11-BSE GUARICHO 8""X0.7 KM",OLEOGASODUCTO,OPERANDO,"CABEZAL DE RECOLECCION PERIFERICO ARROYO PRIETO 11","BATERIA DE SEPARACION Y COMPRESORAS GUARICHO",8,"SIN DATO","ACEITE Y GAS",0.7
"SIN DATO","SIN DATO","OLG INT OLG 8"" GUARICHO 504-BSE GUARICHO 8""X0.7 KM",OLEOGASODUCTO,OPERANDO,"INT OLG 8"" GUARICHO 504-MOD GUARICHO","BATERIA DE SEPARACION Y COMPRESORAS GUARICHO",8,"SIN DATO","ACEITE Y GAS",0.7
"SIN DATO",PEP-DUC-PRO-OLGS4-D6135,"OLG CRP RABASA 211-CRP RABASA 178 12""X1.3 KM",OLEOGASODUCTO,OPERANDO,"CABEZAL DE RECOLECCION PERIFERICO RABASA 211","CABEZAL DE RECOLECCION PERIFERICO 178",12,"SIN DATO","ACEITE Y GAS",1.3
"SIN DATO",PEP-DUC-PRO-OLGS4-D6134,"OLG CRP RABASA 211-CRP RABASA 178 4""X1.3 KM",OLEOGASODUCTO,OPERANDO,"CABEZAL DE RECOLECCION PERIFERICO RABASA 211","CABEZAL DE RECOLECCION PERIFERICO 178",4,"SIN DATO","ACEITE Y GAS",1.3
"SIN DATO",PEP-DUC-PRO-LBNS4-D4270,"GSD CDG RABASA 178-CDG RABASA 211 6""X1.3 KM",GASODUCTO,OPERANDO,"CABEZAL DE DISTRIBUCION DE GAS RABASA 178","CABEZAL DE DISTRIBUCION DE GAS RABASA 211",6,"SIN DATO",GAS,1.3
"SIN DATO",PEP-DUC-PRO-OLGS4-D9076,"OLG CRP LA VENTA 202-CRP CP 935 4""X1.8 KM",OLEOGASODUCTO,OPERANDO,"CABEZAL DE RECOLECCION PERIFERICO LA VENTA 202","CABEZAL DE RECOLECCION PERIFERICO CINCO PRESIDENTES 935",4,"SIN DATO","ACEITE Y GAS",1.8
ND,"SIN DATO","LDD P SINI 11-INT LDD SINI 1 8"" X 0.072 KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 11","INT LDD SINI 1",8,"SIN DATO","ACEITE Y GAS",0.072
ND,"SIN DATO","LDD P SINI 5-INT LDD SINI 3 8"" X 0.050 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO SINI 5","INT LDD SINI 3",8,"SIN DATO","ACEITE Y GAS",0.05
ND,"SIN DATO","LDD P SINI 4-INT LDD SINI 1 8"" X 0.050 KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 4","INT LDD SINI 1",8,"SIN DATO","ACEITE Y GAS",0.05
ND,"SIN DATO","LDD P SINI 2-INT LDD SINI 3 8"" X 0.054 KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 2","INT LDD SINI 3",8,"SIN DATO","ACEITE Y GAS",0.054
ND,"SIN DATO","LDD P SINI 6-INT LDD SINI 3 8"" X 0.176 KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 6","INT LDD SINI 3",8,"SIN DATO","ACEITE Y GAS",0.176
"SIN DATO","SIN DATO","LDD P SAM 649-CAB SAM 843 4""X0.150 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 649","COLECTOR SAMARIA 843",4,"SIN DATO","ACEITE Y GAS",0.15
"SIN DATO","SIN DATO","LDD P SAM 900-CAB SAM 41 4""X0.150 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 900","CABEZAL SAMARIA 41",4,"SIN DATO","ACEITE Y GAS",0.15
"SIN DATO","SIN DATO","LDD P SAM 699-INT P SAM 922 4""X0.112 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 699","INT LDD POZO SAMARIA 922",4,"ACERO AL CARBON","ACEITE Y AGUA",0.112
"SIN DATO","SIN DATO","LDD P SAM 698-INT P SAM 897 4""X0.080 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 698","LDD POZO SAMARIA 897",4,"ACERO AL CARBON","ACEITE Y GAS",0.08
"SIN DATO","SIN DATO","LDD P SAM 696-INT P SAM 901 4""X0.070KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 696","LDD POZO SAMARIA 901",4,"ACERO AL CARBON",ACEITE,0.07
"SIN DATO","SIN DATO","LDD P SAM 690-INT P SAM 895 4""X0.080 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 690","LDD POZO SAMARIA 895",4,"SIN DATO","ACEITE Y GAS",0.08
"SIN DATO","SIN DATO","LDD P SAM 684- INT P SAM 974 4""X0.050 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 684","LDD POZO SAMARIA 974",4,"SIN DATO","ACEITE Y GAS",0.05
"SIN DATO","SIN DATO","LDD P SAM 682-INT P SAM 805 4""X0.070 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 682","LDD POZO SAMARIA 805",4,"SIN DATO","ACEITE Y AGUA",0.07
"SIN DATO","SIN DATO","LDD P SAM 683-INT P SAM 9181 4""X0.115 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 683","INT LDD P SAMARIA 9181",4,"ACERO AL CARBON","ACEITE Y AGUA",0.115
"SIN DATO","SIN DATO","LDD P SAM 681-CAB SAM 16 4""X0.153 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 681","CABEZAL SAMARIA 16",4,"ACERO AL CARBON","ACEITE Y AGUA",0.153
"SIN DATO","SIN DATO","LDD P SAM 678-CAB REC SAM 15 4""X0.175 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 678","CABEZAL DE RECOLECCION SAMARIA 15",4,"ACERO AL CARBON","ACEITE Y AGUA",0.175
"SIN DATO","SIN DATO","LDD P SAM 677-INT P SAM 974 4""X0.050 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 677","LDD POZO SAMARIA 974",4,"SIN DATO","ACEITE Y GAS",0.05
"SIN DATO","SIN DATO","LDD P SAM 676-CAB REC SAM 840 4""X0.180 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 676","CABEZAL DE RECOLECCION SAMARIA 840",4,"SIN DATO","ACEITE Y GAS",0.18
"SIN DATO","SIN DATO","LDD P SAM 672-INT P SAM 974 4""X0.050 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 672","LDD POZO SAMARIA 974",4,"ACERO AL CARBON","ACEITE, GAS Y AGUA",0.05
"SIN DATO","SIN DATO","LDD P SAM 978-CAB SAM 15 4""X0.132 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO SAMARIA 978","CABEZAL COLECTOR SAMARIA 15",4,"SIN DATO","ACEITE Y GAS",0.132
"SIN DATO","SIN DATO","LDD P SAM 695- CAB SAM 34 4""X0.086 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 695","CABEZAL SAMARIA 34",4,"ACERO AL CARBON",ACEITE,0.086
"SIN DATO","SIN DATO","LDD P SAM 693-CAB SAM 41 4""X0.0717 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 693","CABEZAL COLECTOR SAMARIA 41",4,"SIN DATO",ACEITE,0.071
"SIN DATO","SIN DATO","LDD P SAM 692-CAB SAM 91A 4""X0.908 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 692","CABEZAL SAMARIA 91A",4,"ACERO AL CARBON","ACEITE Y GAS",0.908
"SIN DATO","SIN DATO","LDD P SAM 691-INT P SAM 618 4""X0.065 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 691","INT LDD P SAMARIA 618",4,"ACERO AL CARBON","ACEITE Y GAS",0.065
"SIN DATO","SIN DATO","LDD P SAM 680-CAB SAM 14 4""X0.119 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 680","CABEZAL SAMARIA 14",4,"ACERO AL CARBON","ACEITE Y AGUA",0.119
CGD0000190,PEP-SDC-GNE-ZPC-P63-GDO-D0274,"GDO ZPC-P -PL-FPSO D274 24""  X 7.881 KM",GASODUCTO,OPERANDO,"PLEM 2 (FPSO)","ZAAP-C (PERFORACION)",24,"ACERO AL CARBON","GAS AMARGO",7.881
"SIN DATO","SIN DATO","LDD P SAM 670-CAB SAM 896 4""X0.080 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO SAMARIA 670","CABEZAL SAMARIA 896",4,"ACERO AL CARBON",ACEITE,0.08
"SIN DATO","SIN DATO","LDD P SAM 669-INT P SAM 974 4""X0.057 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO SAMARIA 669","INT LDD P SAMARIA 974",4,"ACERO AL CARBON","ACEITE Y GAS",0.057
"SIN DATO","SIN DATO","LDD P SAM 666-CAB SAM 94 4""X0.095 KM","LINEA DE DESCARGA","FUERA DE OPERACION TEMPORAL","POZO SAMARIA 666","CABEZAL SAMARIA 94",4,"ACERO AL CARBON","ACEITE Y GAS",0.095
"SIN DATO","SIN DATO","LDD P SAM 665-CAB SAM 17 4""X0.110 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 665","CABEZAL SAMARIA 17",4,"SIN DATO",ACEITE,0.11
"SIN DATO","SIN DATO","LDD P SAM 647-CAB SAM 94 4""X0.048 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 647","CABEZAL SAMARIA 94",4,"ACERO AL CARBON","ACEITE Y GAS",0.048
ND,"SIN DATO","LDD P SAM 644-CAB SAM 34 4""X0.118 KM","LINEA DE DESCARGA","FUERA DE OPERACION","POZO SAMARIA 644","CABEZAL SAMARIA 34",4,"SIN DATO",ACEITE,0.118
"SIN DATO","SIN DATO","LDD P SAM 637-CAB SAM 94 4""X0.069 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 637","CABEZAL SAMARIA 94",4,"ACERO AL CARBON","ACEITE Y GAS",0.069
ND,"SIN DATO","LDD P SAM 4112-CR SAM 71 6""X0.083 KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 4112","CABEZAL DE RECOLECCION SAMARIA 71",6,"SIN DATO","ACEITE Y GAS",0.083
"SIN DATO","SIN DATO","LDD P SAMARIA 668-INT LDD P SAMARIZ 947 4""X0.029KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 668","INT LDD SAMARIA 947",4,"ACERO AL CARBON",DESCONOCIDO,0.029
"SIN DATO","SIN DATO","LBN P SAMARIA 691-INT LBN SAM 620 2""X0.021KM","LINEA DE BOMBEO NEUMATICO",OPERANDO,"POZO SAMARIA 691","INT LBN SM 620",2,"ACERO AL CARBON",DESCONOCIDO,0.021
"SIN DATO","SIN DATO","LDD P SAMARIA 697-CAB SAM 41 4""X0.150KM","LINEA DE DESCARGA",OPERANDO,"POZO SAMARIA 697","CABEZAL SAMARIA 41",4,"SIN DATO","ACEITE Y GAS",0.15
"SIN DATO","SIN DATO","LDD P SINI 12-INT LDD SINI 1 8""X0.050KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 12","INT LDD SINI 1",8,"SIN DATO","ACEITE Y GAS",0.05
"SIN DATO","SIN DATO","LDD P ITA 15-P ITA 6 3""X2.163KM","LINEA DE DESCARGA",DESCONOCIDO,"POZO ITA 15","POZO ITA 6",3,"SIN DATO",DESCONOCIDO,2.16386
"SIN DATO","SIN DATO","LDD BOCAXA 11- INT PAJE 1 3""X .706KM","LINEA DE DESCARGA",OPERANDO,BOCAXA-11,"INT PAJE 1",3,"SIN DATO","SIN DATO",0.706
CGD0001731,PEP-SUR-CPT-MOG-A47-OLD-DMO01,"OLD TDD PUENTE-P VENTA 215 10""X15.000 km",OLEODUCTO,"FUERA DE OPERACION DEFINITIVA","TDD PUENTE","POZO LA VENTA 0215",10,"ACERO AL CARBON",ISTMO,15
ND,"SIN DATO","LDD P SINI 3-BS PIJIJE 8"" X 5.650 KM","LINEA DE DESCARGA",OPERANDO,"POZO SINI 3","BATERIA DE SEPARACION PIJIJE",8,"SIN DATO","ACEITE Y GAS",5.65
"SIN DATO","SIN DATO","LDD MISION 92-E MISION 3 3""X0.293KM","LINEA DE DESCARGA",OPERANDO,MISION-92,"ER MISION 3",3,"SIN DATO","SIN DATO",0.293
"SIN DATO","SIN DATO","LDD BOCAXA 2-INT BOCAXA 10 3""X0.661 KM","LINEA DE DESCARGA",OPERANDO,BOCAXA-2,"INT BOCAXA 10",3,"SIN DATO","SIN DATO",0.661
"SIN DATO",PEP-NTE-BUR-RFC-486-LDD-L0046,"LDD MISION 46-E MISION 1 3"" X 2.879 KM","LINEA DE DESCARGA",OPERANDO,MISION-46,"ERG MISION 1A",3,"SIN DATO","SIN DATO",2.879
"SIN DATO",PEP-NTE-BUR-RFC-486-LDD-L0048,"LDD MISION 48-EST. MISION 1 3""X0.410KM","LINEA DE DESCARGA",OPERANDO,MISION-48,"ERG MISION 1A",3,"SIN DATO","SIN DATO",0.41
"SIN DATO",PEP-NTE-BUR-RFC-486-LDD-L0062,"LDD MISION 62 - E MISION 1 3"" X3.925 KM","LINEA DE DESCARGA",OPERANDO,MISION-62,"ERG MISION 1A",3,"SIN DATO","SIN DATO",3.925
"SIN DATO","SIN DATO","LDD MISION 63 - E MISION 1A 3"" X3.014 KM","LINEA DE DESCARGA",OPERANDO,MISION-63,"ERG MISION 1A",3,"SIN DATO","SIN DATO",3.014
"SIN DATO",PEP-NTE-BUR-RFC-486-LDD-L0084,"LDD MISION 84-E MISION 2 3""X0.379KM","LINEA DE DESCARGA",OPERANDO,MISION-84,"ERG MISION 2",3,"SIN DATO","SIN DATO",0.676
"SIN DATO","SIN DATO","LDD MISION 85-E MISION 3 3""X0.250KM","LINEA DE DESCARGA",OPERANDO,MISION-85,"ER MISION 3",3,"SIN DATO","SIN DATO",0.25
"SIN DATO","SIN DATO","LDD MISION 86-E MISION 3 3""X0.261KM","LINEA DE DESCARGA",OPERANDO,MISION-86,"ER MISION 3",3,"SIN DATO","SIN DATO",0.261
"SIN DATO","SIN DATO","LDD PATLACHE 101- E MISION 2 3""X0.251KM","LINEA DE DESCARGA",OPERANDO,PATLACHE-101,"ERG MISION 2",3,"SIN DATO","SIN DATO",0.251
CGD0019603,PEP-NTE-BUR-LMA-523-LDD-L1111,"LDD QUITRIN 1111-ERG QUIT 2 3""X1.780KM","LINEA DE DESCARGA",OPERANDO,QUITRIN-1111,"INT. PRESA 108",3,"ACERO AL CARBONO","DULCE HUMEDO",1.78
"SIN DATO","SIN DATO","LDD SIROCO 1-E TUCURA 1 3""X3.260KM","LINEA DE DESCARGA",OPERANDO,SIROCO-1,"MRG-TUCURA 1",3,"SIN DATO","SIN DATO",3.26
"SIN DATO","SIN DATO","LDD STA. ANITA 232-STA.ANITA 1 3"" 2.15KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-232","ERG SANTA ANITA 1",3,"SIN DATO","SIN DATO",2.15
"SIN DATO","SIN DATO","LDD S ANITA 313-E S ANITA 2 3""X2.156KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-313","ERG SANTA ANITA 2",3,"SIN DATO","SIN DATO",2.156
"SIN DATO","SIN DATO","LDD S ANITA 315-E S ANITA 2 3""X1.563KM","LINEA DE DESCARGA",OPERANDO,"SANTA ANITA-315","ERG SANTA ANITA 2",3,"SIN DATO","SIN DATO",1.563
"SIN DATO","SIN DATO","LDD TRAPICHE 7-EST TRAPI 1 3""X0.387KM","LINEA DE DESCARGA",OPERANDO,TRAPICHE-7,"MRG TRAPICHE 1",3,"SIN DATO","SIN DATO",0.387
